row_label_raw,row_label_full,col_0,Giá trị quyềnsửVND,Giá trị quyềnsử dụng đất(*) > VND,Phần mềm máytính > VND,Cộng > VND,numeric__Giá trị quyềnsửVND,numeric__Giá trị quyềnsử dụng đất(*) > VND,numeric__Phần mềm máytính > VND,numeric__Cộng > VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,,1.108.070.000,109.900.000,1.217.970.000,,1108070000.0,109900000.0,1217970000.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,770.000.000,770.000.000,,,770000000.0,770000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,1.108.070.000,879.900.000,1.987.970.000,,1108070000.0,879900000.0,1987970000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,-,109.900.000,109.900.000,,,109900000.0,109900000.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,-,56.505.021,56.505.021,,,56505021.0,56505021.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,-,166.405.021,166.405.021,,,166405021.0,166405021.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,-,1.108.070.000,-,1.108.070.000,,1108070000.0,,1108070000.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,-,1.108.070.000,713.494.979,1.821.564.979,,1108070000.0,713494979.0,1821564979.0
