row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất Công nghiệp,Chuyển nhượng Bắt động sản,Mua bán điện,Bán hàng hóa,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất Công nghiệp,numeric__Chuyển nhượng Bắt động sản,numeric__Mua bán điện,numeric__Bán hàng hóa,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.533.746.798.527,445.517.465.733,42.599.879.765,422.770.778.518,1.338.433.121.414,32.353.251.474,4.815.421.295.431,2533746798527.0,445517465733.0,42599879765.0,422770778518.0,1338433121414.0,32353251474.0,4815421295431.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,2.385.653.914.118,429.606.852.014,27.171.646.072,149.282.562.221,1.308.789.966.267,23.258.423.906,4.323.763.364.598,2385653914118.0,429606852014.0,27171646072.0,149282562221.0,1308789966267.0,23258423906.0,4323763364598.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,148.092.884.409,15.910.613.719,15.428.233.693,273.488.216.297,29.643.155.147,9.094.827.568,491.657.930.833,148092884409.0,15910613719.0,15428233693.0,273488216297.0,29643155147.0,9094827568.0,491657930833.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,6.729.163.010,-,-,382.119.079.577,-,5.205.921.561,394.054.164.148,6729163010.0,,,382119079577.0,,5205921561.0,394054164148.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.037.143.809.476,451.114.976.407,180.584.975.138,2.150.899.110.086,52.643.316.363,4.750.197.560,3.877.136.385.030,1037143809476.0,451114976407.0,180584975138.0,2150899110086.0,52643316363.0,4750197560.0,3877136385030.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,-,2.276.505.542.705,,,,,,,2276505542705.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.037.143.809.476,451.114.976.407,180.584.975.138,2.150.899.110.086,52.643.316.363,4.750.197.560,6.153.641.927.735,1037143809476.0,451114976407.0,180584975138.0,2150899110086.0,52643316363.0,4750197560.0,6153641927735.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,554.836.276.606,40.422.438.910,25.928.825.534,1.245.365.527.778,18.701.223.200,-,1.885.254.292.028,554836276606.0,40422438910.0,25928825534.0,1245365527778.0,18701223200.0,,1885254292028.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,-,1.002.015.160.772,,,,,,,1002015160772.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,554.836.276.606,40.422.438.910,25.928.825.534,1.245.365.527.778,18.701.223.200,-,2.887.269.452.800,554836276606.0,40422438910.0,25928825534.0,1245365527778.0,18701223200.0,,2887269452800.0
