row_label_raw,row_label_full,col_0,Chung cưNăng Hương,Chung cưMỹ Đình Plaza,Chung cư PCC1 HàĐông Complex,Cộng,numeric__Chung cưNăng Hương,numeric__Chung cưMỹ Đình Plaza,numeric__Chung cư PCC1 HàĐông Complex,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,85.271.905.313,24.269.520.970,120.617.951.458,11076525175.0,85271905313.0,24269520970.0,120617951458.0
- Đầu tư xây dựngcor bản hoàn thành,Nguyên giá > - Đầu tư xây dựngcor bản hoàn thành,- Đầu tư xây dựngcor bản hoàn thành,-,5.205.921.561,-,5.205.921.561,,5205921561.0,,5205921561.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,90.477.826.874,24.269.520.970,125.823.873.019,11076525175.0,90477826874.0,24269520970.0,125823873019.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.303.062.461,17.723.746.955,2.430.941.599,23.457.751.015,3303062461.0,17723746955.0,2430941599.0,23457751015.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,398.779.182,4.210.957.855,970.780.835,5.580.517.872,398779182.0,4210957855.0,970780835.0,5580517872.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.701.841.643,21.934.704.810,3.401.722.434,29.038.268.887,3701841643.0,21934704810.0,3401722434.0,29038268887.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.773.462.714,67.548.158.358,21.838.579.371,97.160.200.443,7773462714.0,67548158358.0,21838579371.0,97160200443.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,7.374.683.532,68.543.122.064,20.867.798.536,96.785.604.132,7374683532.0,68543122064.0,20867798536.0,96785604132.0
