row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích/Tỷ lệ biểu quyết,Tỷ lệ cam kết góp,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích/Tỷ lệ biểu quyết,numeric__Tỷ lệ cam kết góp,numeric__Hoạt động kinh doanh chính
- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội (**),- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội (**),- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội (**),Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Miền Nam,- Công ty TNHH MTV Xây lắp điện 1 - Miền Nam,- Công ty TNHH MTV Xây lắp điện 1 - Miền Nam,Hồ Chí Minh,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình (**),- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình (**),- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình (**),Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,Hà Nội,100%,100%,Dịch vụ,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Ninh Bình,- Công ty TNHH MTV Xây lắp điện 1 - Ninh Bình,- Công ty TNHH MTV Xây lắp điện 1 - Ninh Bình,Ninh Bình,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH Chế tạo Cột thép Đông Anh,- Công ty TNHH Chế tạo Cột thép Đông Anh,- Công ty TNHH Chế tạo Cột thép Đông Anh,Hà Nội,90%,90%,"Sản xuất các loại cột thép mạ kẽm, kết cấu thép, phụ tùng phụ kiện có liên quan, dịch vụ về mạ; mua bán thép, kẽm, vất tư phục vụ sản xuất, chế tạo kết cấu thép; mua bán vất tư, thiết bị kỹ thuật điện.",,0.9,0.9,
- Công ty Cổ phần Thủy điện Trung Thu,- Công ty Cổ phần Thủy điện Trung Thu,- Công ty Cổ phần Thủy điện Trung Thu,Điện Biên,60%,60%,Đầu tư xây dựng các nhà máy thủy điện vừa và nhỏ; Sản xuất và kinh doanh điện năng.,,0.6,0.6,
- Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,- Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,- Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Hà Nội,"99,39%","99,39%","Đầu tư, kinh doanh bắt động sản",,0.9939,0.9939,
- Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,- Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,- Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Hà Nội,"51,00%","51,00%",Lắp đặt máy móc và thiết bị công nghiệp,,0.51,0.51,
- Công ty Cổ phần Cơ khí Ô tô Hòa Bình,- Công ty Cổ phần Cơ khí Ô tô Hòa Bình,- Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Hà Nội,"99,88%","99,88%","Đầu tư, kinh doanh bắt động sản",,0.9987999999999999,0.9987999999999999,
- Công ty Cổ phần Thủy điện Bảo Lâm,- Công ty Cổ phần Thủy điện Bảo Lâm,- Công ty Cổ phần Thủy điện Bảo Lâm,Cao Bằng,"91,83%","91,83%","Tư vấn quản lý dự án thủy điện, quản lý sau đầu tư thủy điện.",,0.9183,0.9183,
- Công ty Cổ phần Đầu tư Năng lượng Miền Bắc (***),- Công ty Cổ phần Đầu tư Năng lượng Miền Bắc (***),- Công ty Cổ phần Đầu tư Năng lượng Miền Bắc (***),Cao Bằng,"56,85%","51,00%",Đầu tư xây dựng các nhà máy thủy điện vừa và nhỏ; Sản xuất và kinh doanh điện năng.,,0.5685,0.51,
- Công ty Cổ phần Thương mại đầu tư Tiến Bộ,- Công ty Cổ phần Thương mại đầu tư Tiến Bộ,- Công ty Cổ phần Thương mại đầu tư Tiến Bộ,Hà Nội,"99,95%","99,95%","Đầu tư, kinh doanh bắt động sản",,0.9995,0.9995,
- Công ty Cổ phần Điện gió Liên Lập,- Công ty Cổ phần Điện gió Liên Lập,- Công ty Cổ phần Điện gió Liên Lập,"Thôn Của, xã Hướng Tân, huyện Hoàng Hóa, tỉnh Quảng Trị","99,9%","99,9%",Đầu tư xây dựng nhà máy điện gió Liên Lập,,0.9990000000000001,0.9990000000000001,
