row_label_raw,row_label_full,col_0,Vốn đầu tư của chủsở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốnchủ sở hữu,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủsở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốnchủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.154.528.420.000,711.136.556.786,(4.320.000),66.602.581.106,22.816.489.259,571.075.721.042,2.526.155.448.193,1154528420000.0,711136556786.0,-4320000.0,66602581106.0,22816489259.0,571075721042.0,2526155448193.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,294.757.806.951,294.757.806.951,,,,,,294757806951.0,294757806951.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,18.376.968.854,9.188.484.427,(219.116.942.135),(18.376.968.854),,,,18376968854.0,9188484427.0,-219116942135.0,-18376968854.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,18.376.968.854,-,(18.376.968.854),-,,,,18376968854.0,,-18376968854.0,
Trích quỹ dự trữ bổ sungvốn điều lệ,Trích quỹ dự trữ bổ sungvốn điều lệ,Trích quỹ dự trữ bổ sungvốn điều lệ,-,-,-,-,9.188.484.427,(9.188.484.427),-,,,,,9188484427.0,-9188484427.0,
"Trích quỹ khen thưởng, phúcloi","Trích quỹ khen thưởng, phúcloi","Trích quỹ khen thưởng, phúcloi",-,-,-,-,-,(18.376.968.854),(18.376.968.854),,,,,,-18376968854.0,-18376968854.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,173.174.520.000,,,,,(173.174.520.000),-,173174520000.0,,,,,-173174520000.0,
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.327.702.940.000,711.136.556.786,(4.320.000),84.979.549.960,32.004.973.686,646.716.585.858,2.802.536.286.290,1327702940000.0,711136556786.0,-4320000.0,84979549960.0,32004973686.0,646716585858.0,2802536286290.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.327.702.940.000,711.136.556.786,(4.320.000),84.979.549.960,32.004.973.686,646.716.585.858,2.802.536.286.290,1327702940000.0,711136556786.0,-4320000.0,84979549960.0,32004973686.0,646716585858.0,2802536286290.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,499.207.125.479,499.207.125.479,,,,,,499207125479.0,499207125479.0
Phân phối lợi nhuận(*),Phân phối lợi nhuận(*),Phân phối lợi nhuận(*),-,-,-,29.475.780.695,14.737.890.348,(345.124.327.877),(35.370.936.834),,,,29475780695.0,14737890348.0,-345124327877.0,-35370936834.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,29.475.780.695,-,(29.475.780.695),-,,,,29475780695.0,,-29475780695.0,
Hạch toán cổ tức trả bằngcổ phiếu,Hạch toán cổ tức trả bằngcổ phiếu,Hạch toán cổ tức trả bằngcổ phiếu,265.539.720.000,-,-,-,-,(265.539.720.000),-,265539720000.0,,,,,-265539720000.0,
Trích quỹ dự trữ bổ sungvốn điều lệ,Trích quỹ dự trữ bổ sungvốn điều lệ,Trích quỹ dự trữ bổ sungvốn điều lệ,-,-,-,-,14.737.890.348,(14.737.890.348),-,,,,,14737890348.0,-14737890348.0,
"Trích quỹ khen thưởng, phúcloi","Trích quỹ khen thưởng, phúcloi","Trích quỹ khen thưởng, phúcloi",-,-,-,-,-,(29.475.780.696),(29.475.780.696),,,,,,-29475780696.0,-29475780696.0
Trích quỹ thưởng Ban điều hành,Trích quỹ thưởng Ban điều hành,Trích quỹ thưởng Ban điều hành,-,-,-,-,-,(5.895.156.138),(5.895.156.138),,,,,,-5895156138.0,-5895156138.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.593.242.660.000,711.136.556.786,(4.320.000),114.455.330.655,46.742.864.034,800.799.383.460,3.266.372.474.935,1593242660000.0,711136556786.0,-4320000.0,114455330655.0,46742864034.0,800799383460.0,3266372474935.0
