row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2015,MÃU SỐ B 03-DN Đơn vị: VND,numeric__Mã số,numeric__Năm 2015,numeric__MÃU SỐ B 03-DN Đơn vị: VND
I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,341.999.017.329,138.039.125.465,1.0,341999017329.0,138039125465.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,,,
Khẩu hao tài sản cố định và BĐSĐT,2. Điều chỉnh cho các khoản > Khẩu hao tài sản cố định và BĐSĐT,Khẩu hao tài sản cố định và BĐSĐT,02,812.684.128,390.787.964,2.0,812684128.0,390787964.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,2.790.919.824,16.139.291.609,3.0,2790919824.0,16139291609.0
(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại cá khoản,2. Điều chỉnh cho các khoản > (Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại cá khoản,(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại cá khoản,04,-,105.004.918,4.0,,105004918.0
(Lãi)/lỗ từ hoạt động đầu tư,2. Điều chỉnh cho các khoản > (Lãi)/lỗ từ hoạt động đầu tư,(Lãi)/lỗ từ hoạt động đầu tư,05,(81.120.062.410),(6.833.989.569),5.0,-81120062410.0,-6833989569.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,7.167.302.382,573.098.277,6.0,7167302382.0,573098277.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,271.649.861.253,148.413.318.664,8.0,271649861253.0,148413318664.0
(Tăng)/giảm các khoản phải thu,2. Điều chỉnh cho các khoản > (Tăng)/giảm các khoản phải thu,(Tăng)/giảm các khoản phải thu,09,(129.517.499.001),128.798.899.928,9.0,-129517499001.0,128798899928.0
(Tăng)/giảm hàng tồn kho,2. Điều chỉnh cho các khoản > (Tăng)/giảm hàng tồn kho,(Tăng)/giảm hàng tồn kho,10,(254.461.156.990),(87.326.882.153),10.0,-254461156990.0,-87326882153.0
"Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(619.547.671.402),497.216.053.627,11.0,-619547671402.0,497216053627.0
Tăng/giảm chi phí trả trước,2. Điều chỉnh cho các khoản > Tăng/giảm chi phí trả trước,Tăng/giảm chi phí trả trước,12,(25.553.608),599.571.064,12.0,-25553608.0,599571064.0
Tăng/giảm chứng khoán kinh doanh,2. Điều chỉnh cho các khoản > Tăng/giảm chứng khoán kinh doanh,Tăng/giảm chứng khoán kinh doanh,13,,,13.0,,
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(7.167.302.382),(573.098.277),14.0,-7167302382.0,-573098277.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(4.808.466.695),(2.264.090.388),15.0,-4808466695.0,-2264090388.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,-,16.0,,
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(581.781.457),(211.764.000),17.0,-581781457.0,-211764000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(744.459.570.282),684.652.008.465,20.0,-744459570282.0,684652008465.0
II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chỉ đề mua sắm, xây dựng TSCĐ","II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ đề mua sắm, xây dựng TSCĐ","1. Tiền chỉ đề mua sắm, xây dựng TSCĐ",21,(3.596.629.455),(3.567.146.547),21.0,-3596629455.0,-3567146547.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ","2. Tiền thu từ thanh lý, nhượng bán TSCĐ",22,1.056.731.818,2.000.000.000,22.0,1056731818.0,2000000000.0
"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,-,(448.550.000.000),23.0,,-448550000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,448.550.000.000,-,24.0,448550000000.0,
5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,(364.895.052.614),(100.000.000.000),25.0,-364895052614.0,-100000000000.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,-,80.000.000.000,26.0,,80000000000.0
