row_label_raw,row_label_full,col_0,Phương tiênvận tảiVND,Thiết bịquản lýVND,CộngVND,numeric__Phương tiênvận tảiVND,numeric__Thiết bịquản lýVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại 01/01/2015,NGUYÊN GIÁ > Tại 01/01/2015,Tại 01/01/2015,5.601.974.547,343.216.798,5.945.191.345,5601974547.0,343216798.0,5945191345.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,3.596.629.455,-,3.596.629.455,3596629455.0,,3596629455.0
Giảm trong kỳ,NGUYÊN GIÁ > Giảm trong kỳ,Giảm trong kỳ,(1.439.940.000),-,(1.439.940.000),-1439940000.0,,-1439940000.0
Tại 31/12/2015,NGUYÊN GIÁ > Tại 31/12/2015,Tại 31/12/2015,7.758.664.002,343.216.798,8.101.880.800,7758664002.0,343216798.0,8101880800.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
Tại 01/01/2015,HAO MÒN LỦY KẾ > Tại 01/01/2015,Tại 01/01/2015,414.445.087,221.185.492,635.630.579,414445087.0,221185492.0,635630579.0
Khấu hao trong kỳ,HAO MÒN LỦY KẾ > Khấu hao trong kỳ,Khấu hao trong kỳ,790.565.899,22.118.229,812.684.128,790565899.0,22118229.0,812684128.0
Thanh lý nhượng bán,HAO MÒN LỦY KẾ > Thanh lý nhượng bán,Thanh lý nhượng bán,(401.596.170),-,(401.596.170),-401596170.0,,-401596170.0
Tại 31/12/2015,HAO MÒN LỦY KẾ > Tại 31/12/2015,Tại 31/12/2015,803.414.816,243.303.721,1.046.718.537,803414816.0,243303721.0,1046718537.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại 01/01/2015,Tại 01/01/2015,5.187.529.460,122.031.306,5.309.560.766,5187529460.0,122031306.0,5309560766.0
Tại 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại 31/12/2015,Tại 31/12/2015,6.955.249.186,99.913.077,7.055.162.263,6955249186.0,99913077.0,7055162263.0
