row_label_raw,row_label_full,Tại 31/12/2015,Dưới 1 nămVND > Tại 31/12/2015,Từ 1 - 5 nămVND > Tại 31/12/2015,TổngVND > Tại 31/12/2015,numeric__Dưới 1 nămVND > Tại 31/12/2015,numeric__Từ 1 - 5 nămVND > Tại 31/12/2015,numeric__TổngVND > Tại 31/12/2015
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.043.069.462.202,-,1.043.069.462.202,1043069462202.0,,1043069462202.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,29.293.318.300,-,29.293.318.300,29293318300.0,,29293318300.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,-,-,-,,,
Đầu tư tài chính dài hạn,Đầu tư tài chính ngắn hạn > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.053.888.652.384,1.053.888.652.384,,1053888652384.0,1053888652384.0
Cộng,Đầu tư tài chính ngắn hạn > Cộng,Cộng,1.072.362.780.502,1.053.888.652.384,2.126.251.432.886,1072362780502.0,1053888652384.0,2126251432886.0
Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,,,
Các khoản vay,Tại 31/12/2015 > Các khoản vay,Các khoản vay,75.000.000.000,-,75.000.000.000,75000000000.0,,75000000000.0
Phải trả người bán và phải trả khác,Tại 31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,47.246.460.550,-,47.246.460.550,47246460550.0,,47246460550.0
Công nợ tài chính khác,Tại 31/12/2015 > Công nợ tài chính khác,Công nợ tài chính khác,811.736.389,-,811.736.389,811736389.0,,811736389.0
Cộng,Tại 31/12/2015 > Cộng,Cộng,123.058.196.939,-,123.058.196.939,123058196939.0,,123058196939.0
Chênh lệch thanh khoản thuần,Tại 31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,949.304.583.563,1.053.888.652.384,2.003.193.235.947,949304583563.0,1053888652384.0,2003193235947.0
