row_label_raw,row_label_full,col_0,31/12/2015 > Giá trị VND,31/12/2015 > Số có khả năng trả nợ VND,Trong kỳ > Tăng VND,Trong kỳ > Giảm VND,01/01/2015 > Giá trị VND,01/01/2015 > Số có khả năng trả nợ VND,numeric__31/12/2015 > Giá trị VND,numeric__31/12/2015 > Số có khả năng trả nợ VND,numeric__Trong kỳ > Tăng VND,numeric__Trong kỳ > Giảm VND,numeric__01/01/2015 > Giá trị VND,numeric__01/01/2015 > Số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,75.000.000.000,75.000.000.000,883.097.031.980,808.097.031.980,-,-,75000000000.0,75000000000.0,883097031980.0,808097031980.0,,
Ngân hàng ACB-CN Hải Phòng,Ngân hàng ACB-CN Hải Phòng,Ngân hàng ACB-CN Hải Phòng,-,-,200.254.200.000,200.254.200.000,-,-,,,200254200000.0,200254200000.0,,
Ngân hàng TMCP Liên Việt,Ngân hàng TMCP Liên Việt,Ngân hàng TMCP Liên Việt,-,-,537.067.831.980,537.067.831.980,-,-,,,537067831980.0,537067831980.0,,
Công ty Cổ phần Đầu tư Dịch vụ Hoàng Hà,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Hà,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Hà,,,57.175.000.000,57.175.000.000,,,,,57175000000.0,57175000000.0,,
Ngân hàng HDBank-CN HP (I),Ngân hàng HDBank-CN HP (I),Ngân hàng HDBank-CN HP (I),75.000.000.000,75.000.000.000,88.600.000.000,13.600.000.000,-,-,75000000000.0,75000000000.0,88600000000.0,13600000000.0,,
Cộng,Cộng,Cộng,75.000.000.000,75.000.000.000,883.097.031.980,808.097.031.980,-,-,75000000000.0,75000000000.0,883097031980.0,808097031980.0,,
