row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,NGUỒN VỐN_2,NGUỒN VỐN_3,NGUỒN VỐN_4,numeric__NGUỒN VỐN_1,numeric__NGUỒN VỐN_2,numeric__NGUỒN VỐN_3,numeric__NGUỒN VỐN_4
,,,Mã số,Thuyết minh,31/12/2015,01/01/2015,,,,
1,1,1,2,3,4,5,2.0,3.0,4.0,5.0
A - NỘ PHẢI TRẢ,A - NỘ PHẢI TRẢ,A - NỘ PHẢI TRẢ,300,,149.578.981.975,693.737.031.699,300.0,,149578981975.0,693737031699.0
L Nợ ngắn hạn,L Nợ ngắn hạn,L Nợ ngắn hạn,310,,149.578.981.975,693.737.031.699,310.0,,149578981975.0,693737031699.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,11,-,591.832.667.728,311.0,11.0,,591832667728.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,17.724.239.220,14.939.208.491,312.0,,17724239220.0,14939208491.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,,374.842.534,4.817.796.342,313.0,,374842534.0,4817796342.0
4. Chi phí phải trả ngắn hạn,4. Chi phí phải trả ngắn hạn,4. Chi phí phải trả ngắn hạn,315,,-,11.035.000.000,315.0,,,11035000000.0
"5. Phải trả, phải nộp ngắn hạn khác","5. Phải trả, phải nộp ngắn hạn khác","5. Phải trả, phải nộp ngắn hạn khác",319,12,47.246.460.550,48.417.055.856,319.0,12.0,47246460550.0,48417055856.0
6. Vay và nợ thuê tài chính ngắn hạn,6. Vay và nợ thuê tài chính ngắn hạn,6. Vay và nợ thuê tài chính ngắn hạn,320,13,75.000.000.000,-,320.0,13.0,75000000000.0,
7. Dự phòng phải trả ngắn hạn,7. Dự phòng phải trả ngắn hạn,7. Dự phòng phải trả ngắn hạn,321,,811.736.389,14.230.000.000,321.0,,811736389.0,14230000000.0
"8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi",322,,8.421.703.282,8.465.303.282,322.0,,8421703282.0,8465303282.0
B - NGUỒN VỐN CHỦ SỞ HỮU,B - NGUỒN VỐN CHỦ SỞ HỮU,B - NGUỒN VỐN CHỦ SỞ HỮU,400,,2.615.269.242.306,747.508.765.807,400.0,,2615269242306.0,747508765807.0
L. Vốn chủ sở hữu,L. Vốn chủ sở hữu,L. Vốn chủ sở hữu,410,,2.615.269.242.306,747.508.765.807,410.0,,2615269242306.0,747508765807.0
1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,411,14,2.330.904.280.000,573.642.410.000,411.0,14.0,2330904280000.0,573642410000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411,,2.330.904.280.000,573.642.410.000,411.0,,2330904280000.0,573642410000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,14,124.532.011.543,14.116.236.000,412.0,14.0,124532011543.0,14116236000.0
3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,418,14,19.572.915.034,12.780.251.000,418.0,14.0,19572915034.0,12780251000.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,14,140.260.035.729,146.969.868.807,421.0,14.0,140260035729.0,146969868807.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421,,25.449.803.773,11.116.588.129,421.0,,25449803773.0,11116588129.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421,,114.810.231.956,135.853.280.678,421.0,,114810231956.0,135853280678.0
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),440,,2.764.848.224.281,1.441.245.797.506,440.0,,2764848224281.0,1441245797506.0
