row_label_raw,row_label_full,col_0,Vốn đã góp tại 16/12/2015,Vốn đã góp tại 16/12/2015_1,numeric__Vốn đã góp tại 16/12/2015,numeric__Vốn đã góp tại 16/12/2015_1
,,,VND,%,,
Ông Đỗ Hữu Hạ,Ông Đỗ Hữu Hạ,Ông Đỗ Hữu Hạ,522.201.510.000,"22,40",522201510000.0,22.4
Ông Đỗ Hữu Hậu,Ông Đỗ Hữu Hậu,Ông Đỗ Hữu Hậu,223.128.670.000,"9,57",223128670000.0,9.57
PYN Elite Fund (NON-UCITS),PYN Elite Fund (NON-UCITS),PYN Elite Fund (NON-UCITS),254.295.410.000,"10,91",254295410000.0,10.91
Cổ đông khác,Cổ đông khác,Cổ đông khác,1.331.278.690.000,"57,11",1331278690000.0,57.11
Cộng,Cộng,Cộng,2.330.904.280.000,100,2330904280000.0,100.0
