row_label_raw,row_label_full,Tại 01/01/2015,Dưới 1 nămVND > Tại 01/01/2015,Từ 1 - 5 nămVND > Tại 01/01/2015,TổngVND > Tại 01/01/2015,numeric__Dưới 1 nămVND > Tại 01/01/2015,numeric__Từ 1 - 5 nămVND > Tại 01/01/2015,numeric__TổngVND > Tại 01/01/2015
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,506.580.539.574,-,506.580.539.574,506580539574.0,,506580539574.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,19.988.493.425,-,19.988.493.425,19988493425.0,,19988493425.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,448.550.000.000,-,448.550.000.000,448550000000.0,,448550000000.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,212.325.347.386,212.325.347.386,,212325347386.0,212325347386.0
Cộng,Cộng,Cộng,975.119.032.999,212.325.347.386,1.187.444.380.385,975119032999.0,212325347386.0,1187444380385.0
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,,,
Phải trả người bán và phải trả khác,Tại 01/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,640.249.723.584,-,640.249.723.584,640249723584.0,,640249723584.0
Chi phí phải trả,Tại 01/01/2015 > Chi phí phải trả,Chi phí phải trả,11.035.000.000,-,11.035.000.000,11035000000.0,,11035000000.0
Công nợ tài chính khác,Tại 01/01/2015 > Công nợ tài chính khác,Công nợ tài chính khác,14.230.000.000,-,14.230.000.000,14230000000.0,,14230000000.0
Cộng,Tại 01/01/2015 > Cộng,Cộng,665.514.723.584,-,665.514.723.584,665514723584.0,,665514723584.0
Chênh lệch thanh khoản thuần,Tại 01/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,309.604.309.415,212.325.347.386,521.929.656.801,309604309415.0,212325347386.0,521929656801.0
