row_label_raw,row_label_full,Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,Năm 2015VND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,Năm 2014VND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,numeric__Năm 2015VND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,numeric__Năm 2014VND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,341.999.017.329,138.039.125.465,341999017329.0,138039125465.0
Hoạt động chính,Hoạt động chính,Hoạt động chính,260.897.342.907,129.205.467.341,260897342907.0,129205467341.0
Hoạt động khác,Hoạt động khác,Hoạt động khác,81.101.674.422,8.833.658.124,81101674422.0,8833658124.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,(57.474.000.000),1.102.000.000,-57474000000.0,1102000000.0
Trừ: Thu nhập không chịu thuế hoạt động khác,Trừ: Thu nhập không chịu thuế hoạt động khác,Trừ: Thu nhập không chịu thuế hoạt động khác,(57.474.000.000),-,-57474000000.0,
Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,-,1.102.000.000,,1102000000.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,284.525.017.329,139.141.125.465,284525017329.0,139141125465.0
Hoạt động chính,Hoạt động chính,Hoạt động chính,260.897.342.907,129.205.467.341,260897342907.0,129205467341.0
Hoạt động khác,Hoạt động khác,Hoạt động khác,23.627.674.422,9.935.658.124,23627674422.0,9935658124.0
Thuế suất thông thường,Thuế suất thông thường,Thuế suất thông thường,22%,22%,0.22,0.22
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,62.595.503.812,30.611.047.602,62595503812.0,30611047602.0
Hoạt động chính,Hoạt động chính,Hoạt động chính,57.397.415.439,28.425.202.815,57397415439.0,28425202815.0
Hoạt động khác,Hoạt động khác,Hoạt động khác,5.198.088.372,2.185.844.787,5198088372.0,2185844787.0
Thuế thu nhập doanh nghiệp được miễn,Thuế thu nhập doanh nghiệp được miễn,Thuế thu nhập doanh nghiệp được miễn,(57.397.415.439),(28.425.202.815),-57397415439.0,-28425202815.0
Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,5.198.088.373,2.185.844.787,5198088373.0,2185844787.0
