row_label_raw,row_label_full,col_0,31/12/2015 > Giá trị VND,31/12/2015 > Sô có khả năng trả nợ VND,01/01/2015 > Giá trị VND,01/01/2015 > Sô có khả năng trả nợ VND,numeric__31/12/2015 > Giá trị VND,numeric__31/12/2015 > Sô có khả năng trả nợ VND,numeric__01/01/2015 > Giá trị VND,numeric__01/01/2015 > Sô có khả năng trả nợ VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,-,-,591.832.667.728,591.832.667.728,,,591832667728.0,591832667728.0
"Dongfeng Moto Co.,Ltd","Dongfeng Moto Co.,Ltd","Dongfeng Moto Co.,Ltd",-,-,591.823.481.728,591.823.481.728,,,591823481728.0,591823481728.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,-,-,9.186.000,9.186.000,,,9186000.0,9186000.0
Cộng,Cộng,Cộng,-,-,591.832.667.728,591.832.667.728,,,591832667728.0,591832667728.0
