row_label_raw,row_label_full,31/12/2014(Đã kiểm toán) > Mã số,31/12/2014(Đã kiểm toán) > Số tiềnVND,01/01/2015(Trình bày lại) > Mã số,01/01/2015(Trình bày lại) > Số tiềnVND,Chênhlệch > Số tiềnVND,Ghi chú,numeric__31/12/2014(Đã kiểm toán) > Số tiềnVND,numeric__01/01/2015(Trình bày lại) > Mã số,numeric__01/01/2015(Trình bày lại) > Số tiềnVND,numeric__Chênhlệch > Số tiềnVND,numeric__Ghi chú
-,-,-,-,123,448.550.000.000,448.550.000.000,(1),,123.0,448550000000.0,448550000000.0,-1.0
121,121,121,448.550.000.000,-,-,(448.550.000.000),(1),448550000000.0,,,-448550000000.0,-1.0
-,-,-,-,254,(1.102.000.000),(1.102.000.000),(2),,254.0,-1102000000.0,-1102000000.0,-2.0
259,259,259,(1.102.000.000),-,-,1.102.000.000,(2),-1102000000.0,,,1102000000.0,-2.0
-,-,-,-,321,14.230.000.000,14.230.000.000,(3),,321.0,14230000000.0,14230000000.0,-3.0
337,337,337,14.230.000.000,-,-,(14.230.000.000),(3),14230000000.0,,,-14230000000.0,-3.0
