row_label_raw,row_label_full,Chỉ tiêu,Miền Bắc VND,Miền Trung VND,Miền Nam VND,Cộng VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Miền Nam VND,numeric__Cộng VND
1. Doanh thu thuần,1. Doanh thu thuần,1. Doanh thu thuần,802.527.020.650,297.510.214.571,703.821.409.121,1.803.858.644.342,802527020650.0,297510214571.0,703821409121.0,1803858644342.0
"- Doanh thu bán hàng hóa, thành phẩm","- Doanh thu bán hàng hóa, thành phẩm","- Doanh thu bán hàng hóa, thành phẩm",801.993.917.375,297.510.214.571,703.821.409.121,1.803.325.541.067,801993917375.0,297510214571.0,703821409121.0,1803325541067.0
- Doanh thu khác,- Doanh thu khác,- Doanh thu khác,533.103.275,-,-,533.103.275,533103275.0,,,533103275.0
2. Giá vốn,2. Giá vốn,2. Giá vốn,662.749.751.102,253.771.231.689,614.724.629.830,1.531.245.612.621,662749751102.0,253771231689.0,614724629830.0,1531245612621.0
- Giá vốn của hàng hóa thành phẩm đã bán,- Giá vốn của hàng hóa thành phẩm đã bán,- Giá vốn của hàng hóa thành phẩm đã bán,662.596.742.754,253.771.231.689,614.724.629.830,1.531.092.604.273,662596742754.0,253771231689.0,614724629830.0,1531092604273.0
- Giá vốn hoạt động khác,- Giá vốn hoạt động khác,- Giá vốn hoạt động khác,153.008.348,-,-,153.008.348,153008348.0,,,153008348.0
3. Lợi nhuận gộp,3. Lợi nhuận gộp,3. Lợi nhuận gộp,139.777.269.548,43.738.982.882,89.096.779.291,272.613.031.721,139777269548.0,43738982882.0,89096779291.0,272613031721.0
"- Bán hàng hóa, thành phẩm","- Bán hàng hóa, thành phẩm","- Bán hàng hóa, thành phẩm",139.397.174.621,43.738.982.882,89.096.779.291,272.232.936.794,139397174621.0,43738982882.0,89096779291.0,272232936794.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,380.094.927,-,-,380.094.927,380094927.0,,,380094927.0
4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,152.097.403.047,56.422.536.426,133.479.077.856,341.999.017.329,152097403047.0,56422536426.0,133479077856.0,341999017329.0
"- Bán hàng hóa, thành phẩm","- Bán hàng hóa, thành phẩm","- Bán hàng hóa, thành phẩm",151.717.308.120,56.422.536.426,133.479.077.856,341.618.922.402,151717308120.0,56422536426.0,133479077856.0,341618922402.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,380.094.927,-,-,380.094.927,380094927.0,,,380094927.0
