row_label_raw,row_label_full,col_0,Năm 2015VND,Năm 2015VND_1,numeric__Năm 2015VND,numeric__Năm 2015VND_1
Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,,
"Mua hàng hóa, dịch vụ","Công ty CP Đầu tư DV TC Hoàng Huy > Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",90.731.309.183,90.707.349.864,90731309183.0,90707349864.0
Chỉ hộ khác,Công ty CP Đầu tư DV TC Hoàng Huy > Chỉ hộ khác,Chỉ hộ khác,892.392.000,-,892392000.0,
Công ty Cổ phần phát triển dịch vụ Hoàng Giang,Công ty Cổ phần phát triển dịch vụ Hoàng Giang,Công ty Cổ phần phát triển dịch vụ Hoàng Giang,Công ty Cổ phần phát triển dịch vụ Hoàng Giang,Công ty Cổ phần phát triển dịch vụ Hoàng Giang,,
Cho vay vốn lưu động,Công ty Cổ phần phát triển dịch vụ Hoàng Giang > Cho vay vốn lưu động,Cho vay vốn lưu động,23.500.000.000,-,23500000000.0,
Nhận cổ tức bằng tiền,Công ty Cổ phần phát triển dịch vụ Hoàng Giang > Nhận cổ tức bằng tiền,Nhận cổ tức bằng tiền,57.474.000.000,,57474000000.0,
Lãi tiền vay,Công ty Cổ phần phát triển dịch vụ Hoàng Giang > Lãi tiền vay,Lãi tiền vay,4.916.667,-,4916667.0,
Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,,
"Bán hàng hóa, dịch vụ","Công ty cổ phần đầu tư xây dựng Hoàng Hiệp > Bán hàng hóa, dịch vụ","Bán hàng hóa, dịch vụ",22.707.500.000,-,22707500000.0,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,,
Giá trị công trình thi công bàn giao,Công ty TNHH Pruksa Việt Nam > Giá trị công trình thi công bàn giao,Giá trị công trình thi công bàn giao,20.826.854.379,-,20826854379.0,
Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,,
"Bán hàng hóa, dịch vụ","Công ty cổ phần đầu tư dịch vụ Thành Nam > Bán hàng hóa, dịch vụ","Bán hàng hóa, dịch vụ",2.662.000.000,-,2662000000.0,
