row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU > Mã số,CHỈ TIÊU > Thuyết minh,CHỈ TIÊU > Năm 2015,CHỈ TIÊU > Năm 2014,numeric__CHỈ TIÊU > Mã số,numeric__CHỈ TIÊU > Thuyết minh,numeric__CHỈ TIÊU > Năm 2015,numeric__CHỈ TIÊU > Năm 2014
,,,1,2,3,4,1.0,2.0,3.0,4.0
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,17,1.803.858.644.342,1.423.761.494.958,1.0,17.0,1803858644342.0,1423761494958.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,,,2.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,1.803.858.644.342,1.423.761.494.958,10.0,,1803858644342.0,1423761494958.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,18,1.531.245.612.621,1.242.239.968.595,11.0,18.0,1531245612621.0,1242239968595.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10 - 11),20,,272.613.031.721,181.521.526.363,20.0,,272613031721.0,181521526363.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,19,82.061.155.915,11.064.368.263,21.0,19.0,82061155915.0,11064368263.0
7. Chi phí tải chính,7. Chi phí tải chính,7. Chi phí tải chính,22,20,15.120.370.969,8.092.987.864,22.0,20.0,15120370969.0,8092987864.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,7.167.302.382,573.098.277,23.0,,7167302382.0,573098277.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,(6.063.995.804),33.276.122.179,25.0,,-6063995804.0,33276122179.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,,8.166.218.852,13.430.607.236,26.0,,8166218852.0,13430607236.0
10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,337.451.593.619,137.786.177.347,30.0,,337451593619.0,137786177347.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,5.646.403.552,2.594.888.453,31.0,,5646403552.0,2594888453.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,1.098.979.842,2.341.940.335,32.0,,1098979842.0,2341940335.0
13. Lợi nhuận khác (40 = 31 - 32),13. Lợi nhuận khác (40 = 31 - 32),13. Lợi nhuận khác (40 = 31 - 32),40,,4.547.423.710,252.948.118,40.0,,4547423710.0,252948118.0
14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,341.999.017.329,138.039.125.465,50.0,,341999017329.0,138039125465.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,21,5.198.088.373,2.185.844.787,51.0,21.0,5198088373.0,2185844787.0
15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50 - 51),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50 - 51),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50 - 51),60,,336.800.928.956,135.853.280.678,60.0,,336800928956.0,135853280678.0
