row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,25.772.472,9.075.755,25772472.0,9075755.0
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,7.041.292,2.444.820,7041292.0,2444820.0
Bằng VND,Bằng VND,Bằng VND,7.041.292,2.444.820,7041292.0,2444820.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,18.731.180,6.630.935,18731180.0,6630935.0
Bằng VND,Bằng VND,Bằng VND,13.018.680,3.098.165,13018680.0,3098165.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,5.712.500,3.532.770,5712500.0,3532770.0
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,58.322,77.847,58322.0,77847.0
Vay các TCTD khác bằng VND,Vay các TCTD khác bằng VND,Vay các TCTD khác bằng VND,57.526,76.977,57526.0,76977.0
Vay các TCTD khác bằng ngoại tệ,Vay các TCTD khác bằng ngoại tệ,Vay các TCTD khác bằng ngoại tệ,796,870,796.0,870.0
Cộng,Cộng,Cộng,25.830.794,9.153.602,25830794.0,9153602.0
