row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cụ thể,numeric__Dự phòng chung,numeric__Dự phòng cụ thể
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,
Số đầu năm nay,Năm nay > Số đầu năm nay,Số đầu năm nay,(234.686),(58.467),-234686.0,-58467.0
Dự phòng rủi ro trích lập trong năm,Năm nay > Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,(25.943),(55.704),-25943.0,-55704.0
Sử dụng dự phòng trong năm,Năm nay > Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,7.984,,7984.0
Số dư cuối năm nay,Năm nay > Số dư cuối năm nay,Số dư cuối năm nay,(260.629),(106.187),-260629.0,-106187.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số đầu năm trước,Năm trước > Số đầu năm trước,Số đầu năm trước,(242.044),(53.944),-242044.0,-53944.0
Dự phòng rủi ro (trích lập)/hoàn nhập trong năm trước,Năm trước > Dự phòng rủi ro (trích lập)/hoàn nhập trong năm trước,Dự phòng rủi ro (trích lập)/hoàn nhập trong năm trước,7.358,(4.948),7358.0,-4948.0
Sử dụng dự phòng trong năm trước,Năm trước > Sử dụng dự phòng trong năm trước,Sử dụng dự phòng trong năm trước,-,425,,425.0
Số cuối năm trước,Năm trước > Số cuối năm trước,Số cuối năm trước,(234.686),(58.467),-234686.0,-58467.0
Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,,
,,,Số cuối năm,Số đầu năm,,
Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,,
Dự phòng chung,Dự phòng rủi ro cho vay khách hàng: > Dự phòng chung,Dự phòng chung,(260.629),(234.686),-260629.0,-234686.0
Dự phòng cụ thể,Dự phòng rủi ro cho vay khách hàng: > Dự phòng cụ thể,Dự phòng cụ thể,(106.187),(58.467),-106187.0,-58467.0
Cộng,Dự phòng rủi ro cho vay khách hàng: > Cộng,Cộng,(366.816),(293.153),-366816.0,-293153.0
