row_label_raw,row_label_full,Họ và tên > Ông Lê Khắc Gia Bảo > Ông Nguyễn Cao Cường,Chức vụ > Trường ban > Thành viên > Trường ban > Thành viên,Ngày bổ nhiệm/miền nhiệm > Bổ nhiệm ngày 01 tháng 01 năm 2022 > Bổ nhiệm ngày 28 tháng 12 năm 2021 > Miễn nhiệm ngày 01 tháng 01 năm 2022 > Bổ nhiệm ngày 01 tháng 01 năm 2022,numeric__Chức vụ > Trường ban > Thành viên > Trường ban > Thành viên,numeric__Ngày bổ nhiệm/miền nhiệm > Bổ nhiệm ngày 01 tháng 01 năm 2022 > Bổ nhiệm ngày 28 tháng 12 năm 2021 > Miễn nhiệm ngày 01 tháng 01 năm 2022 > Bổ nhiệm ngày 01 tháng 01 năm 2022
Ông Đăng Minh Quân,Ông Đăng Minh Quân,Ông Đăng Minh Quân,Thành viên,,,
Bà Vũ Hạnh Ngân,Bà Vũ Hạnh Ngân,Bà Vũ Hạnh Ngân,Thành viên,Bổ nhiệm ngày 28 tháng 12 năm 2021,,
Bà Đỗ Thị Tuyết Trinh,Bà Đỗ Thị Tuyết Trinh,Bà Đỗ Thị Tuyết Trinh,Thành viên,Bổ nhiệm ngày 28 tháng 12 năm 2021,,
Ông Nguyễn Thanh Minh,Ông Nguyễn Thanh Minh,Ông Nguyễn Thanh Minh,Thành viên,Miễn nhiệm ngày 28 tháng 12 năm 2021,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,
Họ và tên,Họ và tên,Họ và tên,Chức vụ,Ngày bổ nhiệm/miền nhiệm,,
Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Tổng Giám đốcQuyền Tổng Giám đốc,Bổ nhiệm ngày 09 tháng 12 năm 2021,,
Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Tổng Giám đốcQuyền Tổng Giám đốc,Bổ nhiệm ngày 15 tháng 10 năm 2021,,
Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Tổng Giám đốcQuyền Tổng Giám đốc,Miễn nhiệm ngày 09 tháng 12 năm 2021,,
Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Phó Tổng Giám đốc,Bổ nhiệm ngày 07 tháng 01 năm 2021,,
Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Phó Tổng Giám đốc,Miễn nhiệm ngày 15 tháng 10 năm 2021,,
Bà Trần Tuấn Anh,Bà Trần Tuấn Anh,Bà Trần Tuấn Anh,Tổng Giám đốc,Miễn nhiệm ngày 15 tháng 10 năm 2021,,
Ông Vũ Đức Cần,Ông Vũ Đức Cần,Ông Vũ Đức Cần,Phó Tổng Giám đốc,Miễn nhiệm ngày 01 tháng 07 năm 2021,,
Ông Lê Trung Việt,Ông Lê Trung Việt,Ông Lê Trung Việt,Phó Tổng Giám đốc,,,
Ông Nguyễn Hoàng An,Ông Nguyễn Hoàng An,Ông Nguyễn Hoàng An,Phó Tổng Giám đốc,,,
Bà Phạm Thị Mỹ Chi,Bà Phạm Thị Mỹ Chi,Bà Phạm Thị Mỹ Chi,Phó Tổng Giám đốc,,,
Ông Võ Quốc Lợi,Ông Võ Quốc Lợi,Ông Võ Quốc Lợi,Phó Tổng Giám đốc,Bổ nhiệm ngày 07 tháng 01 năm 2021,,
Ông Nguyễn Văn Minh,Ông Nguyễn Văn Minh,Ông Nguyễn Văn Minh,Phó Tổng Giám đốc,Bổ nhiệm ngày 07 tháng 01 năm 2021,,
Ông Đỗ Tuấn Anh,Ông Đỗ Tuấn Anh,Ông Đỗ Tuấn Anh,Phó Tổng Giám đốc,Bổ nhiệm ngày 20 tháng 09 năm 2021,,
