row_label_raw,row_label_full,Chỉ tiêu,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
1. Bảo lãnh vay vốn,1. Bảo lãnh vay vốn,1. Bảo lãnh vay vốn,,-,-,,,
2. Cam kết giao dịch hối đoái,1. Bảo lãnh vay vốn > 2. Cam kết giao dịch hối đoái,2. Cam kết giao dịch hối đoái,,15.964.295,-,,15964295.0,
Cam kết mua ngoại tệ,1. Bảo lãnh vay vốn > Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,,1.142.500,-,,1142500.0,
Cam kết bán ngoại tệ,1. Bảo lãnh vay vốn > Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,,1.142.500,-,,1142500.0,
Cam kết giao dịch hoán đối,1. Bảo lãnh vay vốn > Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,,13.679.295,-,,13679295.0,
Cam kết giao dịch tương lai,Cam kết giao dịch tương lai,Cam kết giao dịch tương lai,,-,-,,,
3. Cam kết cho vay không hủy ngang,3. Cam kết cho vay không hủy ngang,3. Cam kết cho vay không hủy ngang,,-,-,,,
4. Cam kết trong nghiệp vụ L/C,3. Cam kết cho vay không hủy ngang > 4. Cam kết trong nghiệp vụ L/C,4. Cam kết trong nghiệp vụ L/C,VIII.4,9.042,50.362,,9042.0,50362.0
5. Bảo lãnh khác,3. Cam kết cho vay không hủy ngang > 5. Bảo lãnh khác,5. Bảo lãnh khác,VIII.4,334.284,186.245,,334284.0,186245.0
6. Các cam kết khác,6. Các cam kết khác,6. Các cam kết khác,,-,-,,,
