row_label_raw,row_label_full,col_0,Miền Bắc > Số cuối năm,Miền Bắc > Số đầu năm,Miền Trung > Số cuối năm,Miền Trung > Số đầu năm,Miền Nam > Số cuối năm,Miền Nam > Số đầu năm,Điều chỉnh > Số cuối năm,Điều chỉnh > Số đầu năm,Cộng > Số cuối năm,Cộng > Số đầu năm,numeric__Miền Bắc > Số cuối năm,numeric__Miền Bắc > Số đầu năm,numeric__Miền Trung > Số cuối năm,numeric__Miền Trung > Số đầu năm,numeric__Miền Nam > Số cuối năm,numeric__Miền Nam > Số đầu năm,numeric__Điều chỉnh > Số cuối năm,numeric__Điều chỉnh > Số đầu năm,numeric__Cộng > Số cuối năm,numeric__Cộng > Số đầu năm
I. Tài sản,I. Tài sản,I. Tài sản,5.241.749,2.173.180,6.434.940,5.884.382,72.145.799,49.224.425,-,-,83.822.488,57.281.987,5241749.0,2173180.0,6434940.0,5884382.0,72145799.0,49224425.0,,,83822488.0,57281987.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,99.638,92.223,177.990,128.847,768.987,534.862,-,-,1.046.615,755.932,99638.0,92223.0,177990.0,128847.0,768987.0,534862.0,,,1046615.0,755932.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,3.488,3.598,250.264,256.846,1.149.516,1.217.341,-,-,1.403.268,1.477.785,3488.0,3598.0,250264.0,256846.0,1149516.0,1217341.0,,,1403268.0,1477785.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,5.138.623,2.077.359,6.006.686,5.498.689,70.227.296,47.472.222,-,-,81.372.605,55.048.270,5138623.0,2077359.0,6006686.0,5498689.0,70227296.0,47472222.0,,,81372605.0,55048270.0
II. Nợ phải trả,II. Nợ phải trả,II. Nợ phải trả,12.186.420,5.051.102,7.518.534,6.585.282,59.438.117,41.727.431,-,-,79.143.071,53.363.815,12186420.0,5051102.0,7518534.0,6585282.0,59438117.0,41727431.0,,,79143071.0,53363815.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,12.184.206,5.050.135,7.516.765,6.583.580,58.855.339,41.456.037,-,-,78.556.310,53.089.752,12184206.0,5050135.0,7516765.0,6583580.0,58855339.0,41456037.0,,,78556310.0,53089752.0
2. Nợ phải trả khác,2. Nợ phải trả khác,2. Nợ phải trả khác,2.214,967,1.769,1.702,582.778,271.394,-,-,586.761,274.063,2214.0,967.0,1769.0,1702.0,582778.0,271394.0,,,586761.0,274063.0
