row_label_raw,row_label_full,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát_1,Thành viên Ban kiểm soát_2,numeric__Thành viên Ban kiểm soát_1,numeric__Thành viên Ban kiểm soát_2
Tiền gửi,Tiền gửi,Tiền gửi,220,107,220.0,107.0
Lãi phải trả,Lãi phải trả,Lãi phải trả,-,392,,392.0
Các công ty và cá nhân có liên quan đến thành viênHội đồng quản trị,Các công ty và cá nhân có liên quan đến thành viênHội đồng quản trị,Các công ty và cá nhân có liên quan đến thành viênHội đồng quản trị,Các công ty và cá nhân có liên quan đến thành viênHội đồng quản trị,Các công ty và cá nhân có liên quan đến thành viênHội đồng quản trị,,
Tiền gửi,Các công ty và cá nhân có liên quan đến thành viênHội đồng quản trị > Tiền gửi,Tiền gửi,2.183.829,10.626,2183829.0,10626.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến thành viênHội đồng quản trị > Lãi phải trả,Lãi phải trả,1.363,63,1363.0,63.0
Các công ty và cá nhân có liên quan đến thành viênBan Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viênBan Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viênBan Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viênBan Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viênBan Tổng Giám đốc,,
Tiền gửi,Các công ty và cá nhân có liên quan đến thành viênBan Tổng Giám đốc > Tiền gửi,Tiền gửi,2.731.799,16.752,2731799.0,16752.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến thành viênBan Tổng Giám đốc > Lãi phải trả,Lãi phải trả,1.095,724,1095.0,724.0
Các công ty và cá nhân có liên quan đến thành viênBan kiểm soát,Các công ty và cá nhân có liên quan đến thành viênBan kiểm soát,Các công ty và cá nhân có liên quan đến thành viênBan kiểm soát,Các công ty và cá nhân có liên quan đến thành viênBan kiểm soát,Các công ty và cá nhân có liên quan đến thành viênBan kiểm soát,,
Tiền gửi,Các công ty và cá nhân có liên quan đến thành viênBan kiểm soát > Tiền gửi,Tiền gửi,1.808,1.850,1808.0,1850.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến thành viênBan kiểm soát > Lãi phải trả,Lãi phải trả,20,66,20.0,66.0
Cộng nợ phải trả,Các công ty và cá nhân có liên quan đến thành viênBan kiểm soát > Cộng nợ phải trả,Cộng nợ phải trả,4.940.702,40.474,4940702.0,40474.0
