row_label_raw,row_label_full,col_0,Lĩnh vựcngân hàng,Lĩnh vựcquản lý nợvà khai thắc tài sản,Loại trừ,Cộng,numeric__Lĩnh vựcngân hàng,numeric__Lĩnh vựcquản lý nợvà khai thắc tài sản,numeric__Loại trừ,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Thu nhập,Năm nay > Thu nhập,Thu nhập,5.966.300,59.208,(25.285),6.000.223,5966300.0,59208.0,-25285.0,6000223.0
Chi phí,Năm nay > Chi phí,Chi phí,4.889.612,58.419,(25.285),4.922.746,4889612.0,58419.0,-25285.0,4922746.0
Chi phí khấu hao tài sản cố định,Năm nay > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,67.087,385,-,67.472,67087.0,385.0,,67472.0
Lợi nhuận trước thuế,Năm nay > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.009.601,404,-,1.010.005,1009601.0,404.0,,1010005.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Thu nhập,Năm trước > Thu nhập,Thu nhập,4.268.980,266.352,(184.098),4.351.234,4268980.0,266352.0,-184098.0,4351234.0
Chi phí,Năm trước > Chi phí,Chi phí,4.304.343,4.362,(184.098),4.124.607,4304343.0,4362.0,-184098.0,4124607.0
Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,Năm trước > Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,67.534,883,-,68.417,67534.0,883.0,,68417.0
Lợi nhuận trước thuế,Năm trước > Lợi nhuận trước thuế,Lợi nhuận trước thuế,(102.897),261.107,-,158.210,-102897.0,261107.0,,158210.0
