row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,Tài sãnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tài sãnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.363.559.541.245,10.940.525.775.746,220.013.395.876,554.008.377.115,1.057.750.248,22.079.164.840.230,10363559541245.0,10940525775746.0,220013395876.0,554008377115.0,1057750248.0,22079164840230.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.928.372.947,3.069.908.956,4.488.352.075,248.150.000,70.950.000,10.805.733.978,2928372947.0,3069908956.0,4488352075.0,248150000.0,70950000.0,10805733978.0
Giảm do quyết toán,Nguyên giá > Giảm do quyết toán,Giảm do quyết toán,(3.778.743.149),(1.925.408.975),-,-,-,(5.704.152.124),-3778743149.0,-1925408975.0,,,,-5704152124.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(771.935.738),-,(771.935.738),,,,-771935738.0,,-771935738.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.362.709.171.043,10.941.670.275.727,224.501.747.951,553.484.591.377,1.128.700.248,22.083.494.486.346,10362709171043.0,10941670275727.0,224501747951.0,553484591377.0,1128700248.0,22083494486346.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.594.931.264.643,7.364.131.352.347,195.993.699.356,364.660.855.543,771.549.403,13.520.488.721.292,5594931264643.0,7364131352347.0,195993699356.0,364660855543.0,771549403.0,13520488721292.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,731.861.133.879,982.615.764.373,21.096.329.872,43.355.787.077,152.399.098,1.779.081.414.299,731861133879.0,982615764373.0,21096329872.0,43355787077.0,152399098.0,1779081414299.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(771.935.738),-,(771.935.738),,,,-771935738.0,,-771935738.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.326.792.398.522,8.346.747.116.720,217.090.029.228,407.244.706.882,923.948.501,15.298.798.199.853,6326792398522.0,8346747116720.0,217090029228.0,407244706882.0,923948501.0,15298798199853.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.768.628.276.602,3.576.394.423.399,24.019.696.520,189.347.521.572,286.200.845,8.558.676.118.938,4768628276602.0,3576394423399.0,24019696520.0,189347521572.0,286200845.0,8558676118938.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.035.916.772.521,2.594.923.159.007,7.411.718.723,146.239.884.495,204.751.747,6.784.696.286.493,4035916772521.0,2594923159007.0,7411718723.0,146239884495.0,204751747.0,6784696286493.0
