row_label_raw,row_label_full,col_0,Vốncổ phầnVND,Thặng dưvốn cổ phầnVND,Vốn khác củachủ sở hữuVND,Quỹ đầu tưphát triểnVND,Lợi nhuận sau thuếchưa phân phốiVND.,TổngVND,numeric__Vốncổ phầnVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Vốn khác củachủ sở hữuVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuận sau thuếchưa phân phốiVND.,numeric__TổngVND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,5.000.000.000.000,196.652.770.150,-,63.593.772.706,432.035.234.937,5.692.281.777.793,5000000000000.0,196652770150.0,,63593772706.0,432035234937.0,5692281777793.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.172.708.215.593,1.172.708.215.593,,,,,1172708215593.0,1172708215593.0
"Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)",-,-,-,-,(40.801.007.083),(40.801.007.083),,,,,-40801007083.0,-40801007083.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(625.000.000.000),(625.000.000.000),,,,,-625000000000.0,-625000000000.0
Điều chuyển nguồn vốn,Điều chuyển nguồn vốn,Điều chuyển nguồn vốn,-,-,158.280.000,(158.280.000),-,-,,,158280000.0,-158280000.0,,
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,5.000.000.000.000,196.652.770.150,158.280.000,63.435.492.706,938.942.443.447,6.199.188.986.303,5000000000000.0,196652770150.0,158280000.0,63435492706.0,938942443447.0,6199188986303.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.437.815.587.283,1.437.815.587.283,,,,,1437815587283.0,1437815587283.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,70.000.000.000,(70.000.000.000),-,,,,70000000000.0,-70000000000.0,
"Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)",-,-,-,-,(44.968.885.250),(44.968.885.250),,,,,-44968885250.0,-44968885250.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(675.000.000.000),(675.000.000.000),,,,,-675000000000.0,-675000000000.0
Điều chuyển nguồn vốn,Điều chuyển nguồn vốn,Điều chuyển nguồn vốn,-,-,2.875.000.000,(2.875.000.000),-,-,,,2875000000.0,-2875000000.0,,
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,5.000.000.000.000,196.652.770.150,3.033.280.000,130.560.492.706,1.586.789.145.480,6.917.035.688.336,5000000000000.0,196652770150.0,3033280000.0,130560492706.0,1586789145480.0,6917035688336.0
