row_label_raw,row_label_full,col_0,Giá trị giao dịch cho > 2020,Giá trị giao dịch cho > 2019,numeric__Giá trị giao dịch cho > 2020,numeric__Giá trị giao dịch cho > 2019
,,,VND,VND,,
Nhà khách Điện lực Miền Bắc- Công ty Điện lực Thanh Hóa,Nhà khách Điện lực Miền Bắc- Công ty Điện lực Thanh Hóa,Nhà khách Điện lực Miền Bắc- Công ty Điện lực Thanh Hóa,Nhà khách Điện lực Miền Bắc- Công ty Điện lực Thanh Hóa,Nhà khách Điện lực Miền Bắc- Công ty Điện lực Thanh Hóa,,
Mua dịch vụ,Nhà khách Điện lực Miền Bắc- Công ty Điện lực Thanh Hóa > Mua dịch vụ,Mua dịch vụ,122.694.000,-,122694000.0,
Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,,
Chi phí dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 1 > Chi phí dịch vụ,Chi phí dịch vụ,148.020.633,-,148020633.0,
Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,,
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,
Tiền lương và thường,Tổng Giám đốc > Tiền lương và thường,Tiền lương và thường,548.400.000,550.156.000,548400000.0,550156000.0
Thành viên khác của Ban Giám đốc,Thành viên khác của Ban Giám đốc,Thành viên khác của Ban Giám đốc,Thành viên khác của Ban Giám đốc,Thành viên khác của Ban Giám đốc,,
Tiền lương và thường,Thành viên khác của Ban Giám đốc > Tiền lương và thường,Tiền lương và thường,571.135.000,859.920.000,571135000.0,859920000.0
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,
Thù lao,Thành viên Hội đồng Quản trị > Thù lao,Thù lao,1.191.828.000,1.210.200.000,1191828000.0,1210200000.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,
Thù lao,Thành viên Ban Kiểm soát > Thù lao,Thù lao,660.220.000,532.780.000,660220000.0,532780000.0
