row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2020VND,1/1/2020VND,,
Công ty mẹ,Công ty mẹ,Công ty mẹ,,,,
Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành viên,Công ty mẹ > Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành viên,96.585.339,-,96585339.0,
Các bên liên quan thuộc Tập đoàn Điện lực Việt Nam,Các bên liên quan thuộc Tập đoàn Điện lực Việt Nam,Các bên liên quan thuộc Tập đoàn Điện lực Việt Nam,,,,
Ban Quản lý Dự án Nhiệt điện 1,Các bên liên quan thuộc Tập đoàn Điện lực Việt Nam > Ban Quản lý Dự án Nhiệt điện 1,Ban Quản lý Dự án Nhiệt điện 1,1.038.733.360,1.038.733.359,1038733360.0,1038733359.0
Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Các bên liên quan thuộc Tập đoàn Điện lực Việt Nam > Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Công ty TNHH MTV Thí nghiệm điện Miền Bắc,230.569.510,800.000.000,230569510.0,800000000.0
Công ty Cổ phần Thủy điện A Vương,Các bên liên quan thuộc Tập đoàn Điện lực Việt Nam > Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,2.838.845.923,-,2838845923.0,
Các bên thứ ba khác,Các bên thứ ba khác,Các bên thứ ba khác,,,,
Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Các bên thứ ba khác > Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,330.805.276.778,239.176.995.286,330805276778.0,239176995286.0
Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Các bên thứ ba khác > Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,46.498.792.739,51.162.338.481,46498792739.0,51162338481.0
Công ty CP Vật tư & Thiết bị Công nghiệp,Các bên thứ ba khác > Công ty CP Vật tư & Thiết bị Công nghiệp,Công ty CP Vật tư & Thiết bị Công nghiệp,10.840.536.685,3.942.352.865,10840536685.0,3942352865.0
Viện nghiên cứu Cơ khí,Các bên thứ ba khác > Viện nghiên cứu Cơ khí,Viện nghiên cứu Cơ khí,18.043.100.075,14.481.784.394,18043100075.0,14481784394.0
Công ty Cổ phần Việt Long,Các bên thứ ba khác > Công ty Cổ phần Việt Long,Công ty Cổ phần Việt Long,8.613.927.957,9.256.971.826,8613927957.0,9256971826.0
Các nhà cung cấp khác,Các bên thứ ba khác > Các nhà cung cấp khác,Các nhà cung cấp khác,87.108.132.945,92.950.441.270,87108132945.0,92950441270.0
,,,506.114.501.311,412.809.617.481,506114501311.0,412809617481.0
