row_label_raw,row_label_full,Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > ▪ Ngân hàng Xuất nhập khẩu Trung Quốc > ▪ Ngân hàng hợp tác Quốc tế Nhật Bản,Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > (i) > (ii) > (iii) > (iv),Loại tiền > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > USD > JPY,Năm đáo hạn > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 2021 > 2024 > 2021 > 2022,"Lãi suất năm > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 5,78% > 6,07% > 3,91% > 4,41%",Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020 VND > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 360.121.111.666 > 2.687.648.800.007 > 73.416.023.506 > 208.273.527.911,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020 VND > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 1.081.061.396.070 > 3.457.781.204.308 > 209.106.759.255 > 329.557.714.823,numeric__Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > (i) > (ii) > (iii) > (iv),numeric__Loại tiền > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > USD > JPY,numeric__Năm đáo hạn > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 2021 > 2024 > 2021 > 2022,"numeric__Lãi suất năm > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 5,78% > 6,07% > 3,91% > 4,41%",numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020 VND > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 360.121.111.666 > 2.687.648.800.007 > 73.416.023.506 > 208.273.527.911,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020 VND > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 1.081.061.396.070 > 3.457.781.204.308 > 209.106.759.255 > 329.557.714.823
Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,,,,,,
▪ Ngân hàng Thương mại Cổ phần Công Thương Việt Nam – Chi nhánh Hoàn Kiểm,Vay từ các tổ chức tín dụng > ▪ Ngân hàng Thương mại Cổ phần Công Thương Việt Nam – Chi nhánh Hoàn Kiểm,▪ Ngân hàng Thương mại Cổ phần Công Thương Việt Nam – Chi nhánh Hoàn Kiểm,(v),VND,2022,"Lãi suất huy động tiết kiệm VND 12 tháng trả lãi sau + 2,8%",100.000.000.000,320.000.000.000,,,2022.0,,100000000000.0,320000000000.0
,,,,,,,3.429.459.463.090,5.397.507.074.456,,,,,3429459463090.0,5397507074456.0
Khoản đến hạn trả trong vòng 12 tháng,Vay từ các tổ chức tín dụng > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(1.440.287.631.269),(1.870.333.587.131),,,,,-1440287631269.0,-1870333587131.0
Khoản đến hạn trả sau 12 tháng,Vay từ các tổ chức tín dụng > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,1.989.171.831.821,3.527.173.487.325,,,,,1989171831821.0,3527173487325.0
