row_label_raw,row_label_full,col_0,Công cụvà dụng cụVND,"Chi phí đền bù,giải phóngmặt bằngVND",TổngVND,numeric__Công cụvà dụng cụVND,"numeric__Chi phí đền bù,giải phóngmặt bằngVND",numeric__TổngVND
Số dư đầu nămPhân bổ trong năm,Số dư đầu nămPhân bổ trong năm,Số dư đầu nămPhân bổ trong năm,1.713.314.806(903.521.256),141.222.195.140(7.680.310.367),142.935.509.946(8.583.831.623),,,
Số dư cuối năm,Số dư đầu nămPhân bổ trong năm > Số dư cuối năm,Số dư cuối năm,809.793.550,133.541.884.773,134.351.678.323,809793550.0,133541884773.0,134351678323.0
