row_label_raw,row_label_full,col_0,Giá trị giao dịch cho,Giá trị giao dịch cho_1,numeric__Giá trị giao dịch cho,numeric__Giá trị giao dịch cho_1
,,,2020VND,2019VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,
Thanh toán nợ gốc vay bằng cách cần trừ với khoản phải thu khách hàng,Tập đoàn Điện lực Việt Nam > Thanh toán nợ gốc vay bằng cách cần trừ với khoản phải thu khách hàng,Thanh toán nợ gốc vay bằng cách cần trừ với khoản phải thu khách hàng,1.760.333.587.131,1.756.337.884.046,1760333587131.0,1756337884046.0
Thanh toán chi phí lãi vay bằng cách cần trừ với khoản phải thu khách hàng,Tập đoàn Điện lực Việt Nam > Thanh toán chi phí lãi vay bằng cách cần trừ với khoản phải thu khách hàng,Thanh toán chi phí lãi vay bằng cách cần trừ với khoản phải thu khách hàng,276.709.582.081,374.559.579.840,276709582081.0,374559579840.0
Chi phí lãi vay và phí vay lại của các khoản vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay và phí vay lại của các khoản vay,Chi phí lãi vay và phí vay lại của các khoản vay,262.081.769.673,353.387.747.626,262081769673.0,353387747626.0
Phí bảo lãnh khoản vay dài hạn,Tập đoàn Điện lực Việt Nam > Phí bảo lãnh khoản vay dài hạn,Phí bảo lãnh khoản vay dài hạn,14.627.812.408,21.171.832.214,14627812408.0,21171832214.0
Mua điện,Tập đoàn Điện lực Việt Nam > Mua điện,Mua điện,26.930.208.202,18.577.091.385,26930208202.0,18577091385.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,,
