row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,131.874.811.965,233.377.233.663,9.867.827.997,6.306.909.761,381.426.783.386,131874811965.0,233377233663.0,9867827997.0,6306909761.0,381426783386.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,1.967.346.563,18.209.969.778,84.960.000,1.403.164.409,21.665.440.750,1967346563.0,18209969778.0,84960000.0,1403164409.0,21665440750.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,2.679.229.500,3.851.615.329,2.548.864.493,-,9.079.709.322,2679229500.0,3851615329.0,2548864493.0,,9079709322.0
Thanh lý và xóa số,Nguyên giá: > Thanh lý và xóa số,Thanh lý và xóa số,-,(30.925.979.832),(828.153.992),-,(31.754.133.824),,-30925979832.0,-828153992.0,,-31754133824.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,136.521.388.028,224.512.838.938,11.673.498.498,7.710.074.170,380.417.799.634,136521388028.0,224512838938.0,11673498498.0,7710074170.0,380417799634.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,11.402.519.078,39.171.672.579,7.041.533.038,2.343.605.684,59.959.330.379,11402519078.0,39171672579.0,7041533038.0,2343605684.0,59959330379.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(41.574.607.874),(138.517.904.281),(8.814.979.056),(4.025.907.785),(192.933.398.996),-41574607874.0,-138517904281.0,-8814979056.0,-4025907785.0,-192933398996.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(7.403.288.246),(16.865.076.309),(187.969.270),(518.406.316),(24.974.740.141),-7403288246.0,-16865076309.0,-187969270.0,-518406316.0,-24974740141.0
Thanh lý và xóa số,Giá trị khấu hao lũy kế: > Thanh lý và xóa số,Thanh lý và xóa số,-,24.994.468.820,828.153.993,-,25.822.622.813,,24994468820.0,828153993.0,,25822622813.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(48.977.896.120),(130.388.511.770),(8.174.794.333),(4.544.314.101),(192.085.516.324),-48977896120.0,-130388511770.0,-8174794333.0,-4544314101.0,-192085516324.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,90.300.204.091,94.859.329.382,1.052.848.941,2.281.001.976,188.493.384.390,90300204091.0,94859329382.0,1052848941.0,2281001976.0,188493384390.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,87.543.491.908,94.124.327.168,3.498.704.165,3.165.760.069,188.332.283.310,87543491908.0,94124327168.0,3498704165.0,3165760069.0,188332283310.0
