row_label_raw,row_label_full,col_0,Cổ phiếu phổ thôngcổ quyền biểu quyết,Cổ phiếu ưu đãi,Thăng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lỗ lũy kế,Tổng cộng,numeric__Cổ phiếu phổ thôngcổ quyền biểu quyết,numeric__Cổ phiếu ưu đãi,numeric__Thăng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lỗ lũy kế,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số đầu năm,Số đầu năm,3.111.983.020.000,-,(529.316.706.910),(10.510.764.710),16.176.475.297,(3.049.629.080.115),(461.297.056.438),3111983020000.0,,-529316706910.0,-10510764710.0,16176475297.0,-3049629080115.0,-461297056438.0
Tài phát hành cổ phiếu quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Tài phát hành cổ phiếu quỹ,Tài phát hành cổ phiếu quỹ,-,-,11.605.200.290,9.957.799.710,-,-,21.563.000.000,,,11605200290.0,9957799710.0,,,21563000000.0
Phát hành cổ phiếu ưu đãi,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Phát hành cổ phiếu ưu đãi,Phát hành cổ phiếu ưu đãi,-,594.657.630.000,-,-,-,-,594.657.630.000,,594657630000.0,,,,,594657630000.0
Chuyển đổi khoản vaythành vốn,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Chuyển đổi khoản vaythành vốn,Chuyển đổi khoản vaythành vốn,-,405.342.370.000,-,-,-,-,405.342.370.000,,405342370000.0,,,,,405342370000.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,15.537.482.574,15.537.482.574,,,,,,15537482574.0,15537482574.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số cuối năm,Số cuối năm,3.111.983.020.000,1.000.000.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.034.091.597.541),575.803.426.136,3111983020000.0,1000000000000.0,-517711506620.0,-552965000.0,16176475297.0,-3034091597541.0,575803426136.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số đầu năm,Số đầu năm,3.111.983.020.000,1.000.000.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.034.091.597.541),575.803.426.136,3111983020000.0,1000000000000.0,-517711506620.0,-552965000.0,16176475297.0,-3034091597541.0,575803426136.0
Chuyển đổi cổ phiếu (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Chuyển đổi cổ phiếu (*),Chuyển đổi cổ phiếu (*),823.500.000.000,(823.500.000.000),-,-,-,-,-,823500000000.0,-823500000000.0,,,,,
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,5.644.486.654,5.644.486.654,,,,,,5644486654.0,5644486654.0
Cổ tức cổ phiếu ưu đãi (**),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Cổ tức cổ phiếu ưu đãi (**),Cổ tức cổ phiếu ưu đãi (**),-,-,-,-,-,(21.180.000.000),(21.180.000.000),,,,,,-21180000000.0,-21180000000.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.049.627.110.887),560.267.912.790,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,16176475297.0,-3049627110887.0,560267912790.0
