row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Công ty Cổ phần Chế biến Gỗ Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Cho mượnLãi cho vayKhác,54.386.798.25616.958.870.243338.200.790,54.729.980.01616.958.870.24339.263.000,,5.438679825616959e+30,5.4729980016169586e+29
Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành - Ea H'leo,Phải thu ngắn hạn khác > Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành - Ea H'leo,Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành - Ea H'leo,Cho mượn,24.928.379.364,24.928.379.364,,24928379364.0,24928379364.0
Công ty Cổ phần Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Lãi cho vayCho mượnKhác,18.540.646.105272.002.10669.906.000,18.540.646.105272.002.10626.706.000,,1.8540646105272002e+27,1.8540646105272002e+27
Công ty Cổ phần Đồ gỗ Casadora,Phải thu ngắn hạn khác > Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Lãi cho vay,3.958.296.829,2.415.700.338,,3958296829.0,2415700338.0
Công ty TNHH MTV Sử Thiên Thanh,Phải thu ngắn hạn khác > Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Lãi cho vayCho vay,2.575.783.569148.500.000,684.164.387148.500.000,,2.5757835691485e+18,6.841643871485e+17
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Lãi cho vay,746.799.374,307.028.351,,746799374.0,307028351.0
Công ty Cổ phần Lâm nghiệp Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Lãi cho vayChi hộ,139.113.517-,3.695.183.724127.895.460,,,3.6951837241278956e+18
Công ty Cổ phần Central Wood,Phải thu ngắn hạn khác > Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Chi hộ,93.250.000,15.400.000,,93250000.0,15400000.0
Công ty Cổ phần Bao bi Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Bao bi Trường Thành,Công ty Cổ phần Bao bi Trường Thành,Chi hộ,54.303.700,54.303.700,,54303700.0,54303700.0
Ông Mai Hữu Tín,Phải thu ngắn hạn khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Chi hộ,-,204.689.860,,,204689860.0
Công ty Cổ phần Trồng rừng Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,Chi hộ,-,3.449.865.999,,,3449865999.0
,,,,123.210.849.853,126.598.578.653,,123210849853.0,126598578653.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,
Công ty TNHH MTV Sử Thiên Thanh,Phải thu về cho vay dài hạn > Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Cho vay,16.600.000.000,-,,16600000000.0,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay dài hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Cho vay,3.136.270.000,4.581.360.000,,3136270000.0,4581360000.0
,,,,19.736.270.000,4.581.360.000,,19736270000.0,4581360000.0
