row_label_raw,row_label_full,col_0,Số lượng cổ phiếu,Số lượng cổ phiếu_1,numeric__Số lượng cổ phiếu,numeric__Số lượng cổ phiếu_1
,,,Số cuối năm,Số đầu năm,,
Cổ phiếu đã đăng ký phát hành,Cổ phiếu đã đăng ký phát hành,Cổ phiếu đã đăng ký phát hành,Cổ phiếu đã đăng ký phát hành,Cổ phiếu đã đăng ký phát hành,,
Cổ phiếu đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành và được góp vốn đầy đủ,,
Cổ phiếu phổ thông,Cổ phiếu đã phát hành và được góp vốn đầy đủ > Cổ phiếu phổ thông,Cổ phiếu phổ thông,393.548.302,311.198.302,393548302.0,311198302.0
Cổ phiếu ưu đãi (*),Cổ phiếu đã phát hành và được góp vốn đầy đủ > Cổ phiếu ưu đãi (*),Cổ phiếu ưu đãi (*),17.650.000,100.000.000,17650000.0,100000000.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,,
Cổ phiếu phổ thông,Cổ phiếu quỹ > Cổ phiếu phổ thông,Cổ phiếu phổ thông,(15.815),(15.815),-15815.0,-15815.0
Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,,
Cổ phiếu phổ thông,Cổ phiếu đang lưu hành > Cổ phiếu phổ thông,Cổ phiếu phổ thông,393.532.487,311.182.487,393532487.0,311182487.0
Cổ phiếu ưu đãi (*),Cổ phiếu đang lưu hành > Cổ phiếu ưu đãi (*),Cổ phiếu ưu đãi (*),17.650.000,100.000.000,17650000.0,100000000.0
