row_label_raw,row_label_full,col_0,Bình Dương,Bình Dương_1,Đắk Lắk,Đắk Lắk_1,Phú Yên,Phú Yên_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Bình Dương,numeric__Bình Dương_1,numeric__Đắk Lắk,numeric__Đắk Lắk_1,numeric__Phú Yên,numeric__Phú Yên_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,Năm 2015,Năm 2014,Năm 2015,Năm 2014,Năm 2015,Năm 2014,Năm 2015,Năm 2014,Năm 2015,Năm 2014,Năm 2015,Năm 2014,,,,,,,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu thuần > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,"5,978,622","1,300,961","1,971,727","(110,623)","36,034","6,025","891,217","262,371",-,-,"8,877,599","1,458,733",,,,-110.623,36.034,6.025,891.217,262.371,,,,
Giữa các bộ phận,Doanh thu thuần > Giữa các bộ phận,Giữa các bộ phận,"(2,149,042)","1,682,052","(913,487)","372,222",(351),"49,440",-,-,"(3,062,880)","(2,103,715)",-,-,,,-913.487,372.222,-351.0,49.44,,,,,,
Tổng cộng,Doanh thu thuần > Tổng cộng,Tổng cộng,"3,829,580","2,983,013","1,058,240","261,599","35,682","55,465","891,217","262,371","(3,062,880)","(2,103,715)","2,751,840","1,458,733",,,,261.599,35.682,55.465,891.217,262.371,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,"238,713","224,697","33,233","25,526","5,226","3,966","69,648","42,084","(1,320)","(20,124)","345,499","276,149",238.713,224.697,33.233,25.526,5.226,3.966,69.648,42.084,-1.32,-20.124,345.499,276.149
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,"106,269","95,896","20,488","22,073","4,186","4,625","1,624","2,054",(277),(437),"132,290","124,211",106.269,95.896,20.488,22.073,4.186,4.625,1.624,2.054,-277.0,-437.0,132.29,124.211
"Lợi nhuận trước thuê, thu nhập tài chính và chi phí tài chính","Kết quả hoạt động kinh doanh > Lợi nhuận trước thuê, thu nhập tài chính và chi phí tài chính","Lợi nhuận trước thuê, thu nhập tài chính và chi phí tài chính","132,445","128,800","12,745","3,454","1,039",(658),"68,023","40,029","(1,043)","(19,687)","213,210","151,938",132.445,128.8,12.745,3.454,1.039,-658.0,68.023,40.029,-1.043,-19.687,213.21,151.938
Thu nhập tài chính,Kết quả hoạt động kinh doanh > Thu nhập tài chính,Thu nhập tài chính,"30,908","10,916","(10,522)","9,591",4,1,3,2,"7,449","(4,282)","27,842","16,228",30.908,10.916,-10.522,9.591,4.0,1.0,3.0,2.0,7.449,-4.282,27.842,16.228
