row_label_raw,row_label_full,"Tên các công ty liên kết, liên doanh",Tỷ lệ vốn góp,Vốn góp thực tế đến 31/12/2015,"Khoản tổn thất phát sinh tại Công ty LK, LD","Phần sở hữu của Công ty trong tài sản thuần của Công ty LK, LD",numeric__Tỷ lệ vốn góp,numeric__Vốn góp thực tế đến 31/12/2015,"numeric__Khoản tổn thất phát sinh tại Công ty LK, LD","numeric__Phần sở hữu của Công ty trong tài sản thuần của Công ty LK, LD"
Công ty CP Bao bi Trường Thành,Công ty CP Bao bi Trường Thành,Công ty CP Bao bi Trường Thành,44%,"2,000,000,000","(1,226,320,640)","773,679,360",0.44,,,
Công ty TNHH Trồng rừng Trường Thành OJI (*),Công ty TNHH Trồng rừng Trường Thành OJI (*),Công ty TNHH Trồng rừng Trường Thành OJI (*),51%,"94,930,473,000","(5,947,562,624)","88,982,910,376",0.51,,,
Công ty CP Nông Lâm nghiệp Trường Thành,Công ty CP Nông Lâm nghiệp Trường Thành,Công ty CP Nông Lâm nghiệp Trường Thành,37%,"23,525,000,000","(278,249,146)","23,246,750,854",0.37,,,
Cộng,Cộng,Cộng,,"120,455,473,000","(7,452,132,410)","113,003,340,590",,,,
