row_label_raw,row_label_full,4.,Phải thu về cho vay ngắn hạn,Số cuối năm,Số đầu năm,numeric__Phải thu về cho vay ngắn hạn,numeric__Số cuối năm,numeric__Số đầu năm
4.,4.,4.,- Ông Phạm Thừa Tự,"280,000,000","280,000,000",,,
4.,4.,4.,- Công ty TNHH SX-XD-TM Đại Dương,"300,000,000","300,000,000",,,
4.,4.,4.,- Công ty TNHH XD Đồng Long,-,"5,048,576,000",,,
4.,4.,4.,- Công ty TNHH Trồng rừng Trường Thành Oji,"28,920,848,000","23,312,488,000",,,
4.,4.,4.,- Công ty Cổ phần Quản lý Cụm CN Trường Thành - Ea H'leo,"19,000,000,000","19,000,000,000",,,
4.,4.,4.,Cộng,"48,500,848,000","47,941,064,000",,,
5.,5.,5.,Hàng tồn kho,Số cuối năm,Số đầu năm,,,
5.,5.,5.,- Hàng đang đi trên đường,"2,732,646,344","3,799,985,585",,,
5.,5.,5.,"- Nguyên vật liệu, phụ liệu","1,301,584,803,379","1,331,707,466,061",,,
5.,5.,5.,"- Công cụ, dụng cụ","2,076,601,172","1,109,718,210",,,
5.,5.,5.,- Chi phí sản xuất kinh doanh dở dang,"807,072,248,779","673,769,631,644",,,
5.,5.,5.,- Thành phẩm,"121,037,297,205","91,268,009,999",,,
5.,5.,5.,- Hàng hóa,"51,340,052,703","104,224,388,571",,,
5.,5.,5.,- Hàng gửi bán,"57,460,046,564","15,148,292,589",,,
5.,5.,5.,- Dự phòng giảm giá hàng tồn kho,"(46,447,532,540)","(10,420,032,282)",,,
5.,5.,5.,Cộng,"2,296,856,163,607","2,210,607,460,377",,,
