row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. Tài sản ngắn hạn,A. Tài sản ngắn hạn,A. Tài sản ngắn hạn,100,,"3,527,789,389,378","3,101,625,957,097",100.0,,,
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.01,"7,975,637,918","85,895,452,344",110.0,,,
1. Tiền,1. Tiền,1. Tiền,111,,"7,925,212,937","48,975,452,344",111.0,,,
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,"50,424,981","36,920,000,000",112.0,,,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,"116,330,930,061","12,147,000,000",120.0,,,
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,V.12.1,"116,330,930,061","12,147,000,000",123.0,,,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,"1,078,891,706,723","752,492,067,708",130.0,,,
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.02,"865,180,210,280","596,802,950,966",131.0,,,
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,"58,770,589,467","51,794,231,345",132.0,,,
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,V.04,"48,500,848,000","47,941,064,000",135.0,,,
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,V.03a,"132,016,274,679","74,407,958,611",136.0,,,
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,V.08,"(25,576,800,725)","(24,097,719,821)",137.0,,,
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,,"585,022","5,643,582,607",139.0,,585.022,
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,V.05,"2,296,856,163,607","2,210,607,460,377",140.0,,,
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,"2,343,303,696,147","2,221,027,492,659",141.0,,,
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,"(46,447,532,540)","(10,420,032,282)",149.0,,,
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,"27,734,951,069","40,483,976,668",150.0,,,
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,V.11a,"1,945,979,126","1,780,084,194",151.0,,,
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,"1,995,708,992","36,747,746,898",152.0,,,
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,V.15b,"23,793,262,951","1,956,145,576",153.0,,,
B. Tài sản dài hạn,B. Tài sản dài hạn,B. Tài sản dài hạn,200,,"1,062,151,198,428","910,948,156,146",200.0,,,
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,"39,496,954,816","18,879,016,866",210.0,,,
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,,"26,535,048,589","20,372,649,167",212.0,,,
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,V.03b,"17,977,996,219","1,150,000,000",216.0,,,
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,V.08,"(5,016,089,992)","(2,643,632,301)",219.0,,,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,"485,684,250,918","390,224,360,940",220.0,,,
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,V.09,"466,616,132,359","365,158,734,518",221.0,,,
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,"689,227,919,995","556,475,248,069",222.0,,,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,"(222,611,787,636)","(191,316,513,551)",223.0,,,
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,V.10,"19,068,118,559","25,065,626,422",227.0,,,
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,"25,117,729,374","30,373,729,374",228.0,,,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,"(6,049,610,815)","(5,308,102,952)",229.0,,,
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,,-,-,230.0,,,
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,"257,318,232,189","269,568,365,261",240.0,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,V.07,"189,015,343,436","154,636,214,406",241.0,,,
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,V.06,"68,302,888,753","114,932,150,855",242.0,,,
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,,"179,681,351,402","167,451,608,838",250.0,,,
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,V.12.2,"113,003,340,590","91,088,483,336",252.0,,,
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,V.12.2,"58,509,784,766","59,184,784,766",253.0,,,
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,V.12.2,"(563,773,954)","(104,239,264)",254.0,,,
4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,255,V.12.1,"8,732,000,000","17,282,580,000",255.0,,,
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,"99,970,409,104","64,824,804,241",260.0,,,
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,V.11b,"94,658,561,371","58,875,084,787",261.0,,,
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,V.13,"5,311,847,733","5,949,719,454",262.0,,,
3. Lợi thế thương mại,3. Lợi thế thương mại,3. Lợi thế thương mại,269,,-,-,269.0,,,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,"4,589,940,587,806","4,012,574,113,243",270.0,,,
