row_label_raw,row_label_full,16. b),Thuế và các khoản phải nộp Nhà nước (tiếp theo),Thuế và các khoản phải nộp Nhà nước (tiếp theo)_1,Thuế và các khoản phải nộp Nhà nước (tiếp theo)_2,Thuế và các khoản phải nộp Nhà nước (tiếp theo)_3,Thuế và các khoản phải nộp Nhà nước (tiếp theo)_4,numeric__Thuế và các khoản phải nộp Nhà nước (tiếp theo),numeric__Thuế và các khoản phải nộp Nhà nước (tiếp theo)_1,numeric__Thuế và các khoản phải nộp Nhà nước (tiếp theo)_2,numeric__Thuế và các khoản phải nộp Nhà nước (tiếp theo)_3,numeric__Thuế và các khoản phải nộp Nhà nước (tiếp theo)_4
16. b),16. b),16. b),Phải thu,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,,,,,
16. b),16. b),16. b),- Thuế GTGT chờ hoàn,-,"(22,293,667,300)",-,"(22,293,667,300)",,,,,
16. b),16. b),16. b),- Thuế GTGT hàng nhập khẩu,"(11,237,496)","66,824,704","64,376,208","(8,789,000)",,,,,
16. b),16. b),16. b),- Thuế nhập khẩu,"(1,944,908,080)","1,210,735,589","756,634,160","(1,490,806,651)",,,,,
16. b),16. b),16. b),Cộng,"(1,956,145,576)","(21,016,107,007)","821,010,368","(23,793,262,951)",,,,,
17.,17.,17.,Chi phí phải trả,,,Số cuối năm,Số đầu năm,,,,,
17.,17.,17.,- Chi phí lãi vay còn phải trả bằng VND,,,"78,301,882,327","134,595,277,086",,,,,
17.,17.,17.,- Chi phí lãi vay còn phải trả bằng ngoại tệ,,,"147,284,249","28,765,580,232",,,,,
17.,17.,17.,- Tiền thuê đất còn phải trả,,,"2,525,951,912",-,,,,,
17.,17.,17.,- Chi phí khai thác rừng Quảng Khuê phải trả,,,"4,364,960,846","8,141,878,500",,,,,
17.,17.,17.,- Chi phí phải trả khác,,,"2,290,188,035","2,046,592,114",,,,,
17.,17.,17.,Cộng,,,"87,630,267,369","173,549,327,932",,,,,
18.,18.,18.,Phải trả khác,,,Số cuối năm,Số đầu năm,,,,,
a),a),a),Ngắn hạn,,,,,,,,,
a),a),a),- Tài sản thừa chờ xử lý,,,"1,081,229,195","973,244,368",,,,,
a),a),a),"- Kinh phí Công đoàn, Bảo hiểm bắt buộc và lãi chậm nộp bảo hiểm còn phải nộp, chậm nộp thuế",,,"96,566,231,114","86,847,160,488",,,,,
a),a),a),"- Các khoản tiền mượn thanh toán, không lãi suất",,,"48,301,873,260","111,175,063,690",,,,,
a),a),a),- Phải trả liên quan đến gỗ khai thác nhập dư chưa quyết toán,,,"8,160,159,644",-,,,,,
a),a),a),- Cổ tức còn phải trả,,,"841,770,500","963,790,800",,,,,
a),a),a),- Phải trả các bên liên quan của Công ty và các công ty con,,,"9,609,464,003",-,,,,,
a),a),a),- Phải trả thù lao HĐQT và Ban Kiểm soát,,,"2,038,973,622","2,440,973,622",,,,,
a),a),a),- Phải trả lợi nhuận hợp tác cho Công ty DLC (Thuyết minh VII.1),,,"3,684,971,099",-,,,,,
a),a),a),- Công ty TNHH Mua Bán Nợ Việt Nam,(*),,"59,903,026,433",-,,,,,
a),a),a),"- Các khoản phải trả, phải nộp khác",,,"5,570,158,720","3,396,713,782",,,,,
a),a),a),Cộng,,,"235,757,857,589","205,796,946,749",,,,,
b),b),b),Dài hạn,,,,,,,,,
b),b),b),"- Nhận đặt cọc, ký quỹ dài han",,,"1,000,000,000","1,000,000,000",,,,,
b),b),b),- Phải trả Công ty TNHH MTV Lâm nghiệp Phước An,,,"1,586,928,000",-,,,,,
b),b),b),Cộng,,,"2,586,928,000","1,000,000,000",,,,,
