row_label_raw,row_label_full,Tên Công ty,Địa chỉ,Vốn điều lệ,Tỷ lệ gópvốn theo ĐKKD,Tỷ lệ gópvốn thực tế,numeric__Địa chỉ,numeric__Vốn điều lệ,numeric__Tỷ lệ gópvốn theo ĐKKD,numeric__Tỷ lệ gópvốn thực tế
Công ty CP Bao bi Trường Thành,Công ty CP Bao bi Trường Thành,Công ty CP Bao bi Trường Thành,"19 đường số 11, KP 01, phường Linh Tây,quận Thủ Đức, Tp. HCM","6,500,000,000",23.08%,43.76%,,,23.08,43.76
Công ty TNHH Trồng rừngTrường Thành OJI,Công ty TNHH Trồng rừngTrường Thành OJI,Công ty TNHH Trồng rừngTrường Thành OJI,"81 Nguyễn Tất Thành, phường 02, Tp.Tuy Hòa, tỉnh Phú Yên","7,018,000.00 USD",51.00%,51.00%,,,51.0,51.0
Công ty CP Nông Lâmnghiệp Trường Thành,Công ty CP Nông Lâmnghiệp Trường Thành,Công ty CP Nông Lâmnghiệp Trường Thành,"Đường 23/3, phường Nghĩa Thành, thị xãGia Nghĩa, tỉnh Đắk Nông","66,887,500,000",37.17%,37.17%,,,37.17,37.17
