row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Võ Trường Thành,Ông Võ Trường Thành,Ông Võ Trường Thành,Chủ tịch,
Ông Tạ Văn Nam,Ông Tạ Văn Nam,Ông Tạ Văn Nam,Thành viên,
Bà Diệp Thị Thu,Bà Diệp Thị Thu,Bà Diệp Thị Thu,Thành viên,
Ông Võ Diệp Văn Tuấn,Ông Võ Diệp Văn Tuấn,Ông Võ Diệp Văn Tuấn,Thành viên,
Ông Đình Văn Hóa,Ông Đình Văn Hóa,Ông Đình Văn Hóa,Thành viên,
Ông Phương Xuân Thụy,Ông Phương Xuân Thụy,Ông Phương Xuân Thụy,Thành viên,
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Thành viên,
Bà Bùi Thị Kim Tuyên,Bà Bùi Thị Kim Tuyên,Bà Bùi Thị Kim Tuyên,Trường BKS,
Bà Trần Lâm Thúy Quyên,Bà Trần Lâm Thúy Quyên,Bà Trần Lâm Thúy Quyên,Thành viên,
Ông Hoàng Anh Tú,Ông Hoàng Anh Tú,Ông Hoàng Anh Tú,Thành viên,
