row_label_raw,row_label_full,Ngắn hạn > - Tiền gửi có kỳ hạn còn lại dưới 12 tháng,"Giá gốc > 116,330,930,061","Giá trị ghi sổ > 116,330,930,061","Giá gốc > 12,147,000,000","Giá trị ghi sổ > 12,147,000,000","numeric__Giá gốc > 116,330,930,061","numeric__Giá trị ghi sổ > 116,330,930,061","numeric__Giá gốc > 12,147,000,000","numeric__Giá trị ghi sổ > 12,147,000,000"
Dài hạn,Dài hạn,Dài hạn,,,,,,,,
- Các khoản đầu tư khác (*),- Các khoản đầu tư khác (*),- Các khoản đầu tư khác (*),"8,732,000,000","8,732,000,000","17,282,580,000","17,282,580,000",,,,
