row_label_raw,row_label_full,col_0,Năm nay(Số năm),numeric__Năm nay(Số năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",5 - 30,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",5 - 20,
Trong đó: Máy móc và thiết bị ngành lọc hóa dấu,Trong đó: Máy móc và thiết bị ngành lọc hóa dấu,Trong đó: Máy móc và thiết bị ngành lọc hóa dấu,10 - 20,
"Phương tiện vận tải, thiết bị truyền dẫn","Phương tiện vận tải, thiết bị truyền dẫn","Phương tiện vận tải, thiết bị truyền dẫn",3 - 25,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 8,
Tài sản khác,Tài sản khác,Tài sản khác,2 - 3,
