row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,81.214.701.822.809,73.598.254.470.809,81214701822809.0,73598254470809.0
Doanh thu Diesel DO,Doanh thu Diesel DO,Doanh thu Diesel DO,28.572.557.358.572,26.779.299.624.321,28572557358572.0,26779299624321.0
Doanh thu Xăng Mogas 92,Doanh thu Xăng Mogas 92,Doanh thu Xăng Mogas 92,20.060.343.263.982,17.470.781.916.122,20060343263982.0,17470781916122.0
Doanh thu Xăng Mogas 95,Doanh thu Xăng Mogas 95,Doanh thu Xăng Mogas 95,17.008.173.837.521,16.060.972.740.847,17008173837521.0,16060972740847.0
Doanh thu LPG,Doanh thu LPG,Doanh thu LPG,5.622.059.224.540,4.547.800.988.241,5622059224540.0,4547800988241.0
Doanh thu Kerosen/Jet A1,Doanh thu Kerosen/Jet A1,Doanh thu Kerosen/Jet A1,4.570.080.473.947,3.857.385.326.850,4570080473947.0,3857385326850.0
Doanh thu Polypropylene,Doanh thu Polypropylene,Doanh thu Polypropylene,3.695.037.538.456,3.712.335.879.154,3695037538456.0,3712335879154.0
Doanh thu Dầu nhiên liệu FO,Doanh thu Dầu nhiên liệu FO,Doanh thu Dầu nhiên liệu FO,1.081.464.123.223,605.615.445.884,1081464123223.0,605615445884.0
Doanh thu Xăng sinh học E5,Doanh thu Xăng sinh học E5,Doanh thu Xăng sinh học E5,484.922.147.612,331.564.629.607,484922147612.0,331564629607.0
Doanh thu dịch vụ cảng biến,Doanh thu dịch vụ cảng biến,Doanh thu dịch vụ cảng biến,114.666.138.414,127.588.990.168,114666138414.0,127588990168.0
Doanh thu cấp bù Polypropylene,Doanh thu cấp bù Polypropylene,Doanh thu cấp bù Polypropylene,-,38.421.809.136,,38421809136.0
Doanh thu Propylene,Doanh thu Propylene,Doanh thu Propylene,-,37.275.027.697,,37275027697.0
Doanh thu Polypropylene offspec,Doanh thu Polypropylene offspec,Doanh thu Polypropylene offspec,2.246.290.558,-,2246290558.0,
Doanh thu lưu huỳnh,Doanh thu lưu huỳnh,Doanh thu lưu huỳnh,1.656.112.941,332.550.930,1656112941.0,332550930.0
Doanh thu dịch vụ khác,Doanh thu dịch vụ khác,Doanh thu dịch vụ khác,1.495.313.043,28.879.541.852,1495313043.0,28879541852.0
Trong đó: Doanh thu với các bên liên quan(Xem Thuyết minh số 32),Trong đó: Doanh thu với các bên liên quan(Xem Thuyết minh số 32),Trong đó: Doanh thu với các bên liên quan(Xem Thuyết minh số 32),18.165.614.052.208,19.636.437.234.592,18165614052208.0,19636437234592.0
,,,81.214.701.822.809,73.598.254.470.809,81214701822809.0,73598254470809.0
