row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Nhận vốn góp,Nhận vốn góp,Nhận vốn góp,,,,
Tập đoàn Dầu khí Việt Nam,Nhận vốn góp > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,414.447.000.000,713.355.519.804,414447000000.0,713355519804.0
Giảm vốn điều lệ,Giảm vốn điều lệ,Giảm vốn điều lệ,,,,
Tập đoàn Dầu khí Việt Nam,Giảm vốn điều lệ > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,1.127.802.519.804,-,1127802519804.0,
Gốp vốn,Gốp vốn,Gốp vốn,-,,,
Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Gốp vốn > Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,-,4.245.320.000,,4245320000.0
Nhận bồi thường,Nhận bồi thường,Nhận bồi thường,-,,,
Tổng Công ty Bảo hiểm PVI,Nhận bồi thường > Tổng Công ty Bảo hiểm PVI,Tổng Công ty Bảo hiểm PVI,6.967.802.160,6.487.348.725,6967802160.0,6487348725.0
Nộp lợi nhuận,Nộp lợi nhuận,Nộp lợi nhuận,-,,,
Tập đoàn Dầu khí Việt Nam,Nộp lợi nhuận > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,7.615.116.774.696,1.552.265.798.943,7615116774696.0,1552265798943.0
Thu nhập của Ban Tổng Giám đốc,Nộp lợi nhuận > Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,7.207.209.571,5.610.000.000,7207209571.0,5610000000.0
