row_label_raw,row_label_full,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Công,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Công
VND,VND,VND,VND,VND,VND,,,
28.601.997.800.456,VND > 28.601.997.800.456,28.601.997.800.456,1.550.722.560.596,1.365.865.608.678,31.518.585.969.730,1550722560596.0,1365865608678.0,31518585969730.0
713.355.519.804,VND > 713.355.519.804,713.355.519.804,-,-,713.355.519.804,,,713355519804.0
-,VND > -,-,-,4.492.179.942.322,4.492.179.942.322,,4492179942322.0,4492179942322.0
-,VND > -,-,-,(10.000.000),(10.000.000),,-10000000.0,-10000000.0
-,VND > -,-,167.439.975.409,(167.439.975.409),-,167439975409.0,-167439975409.0,
-,VND > -,-,-,(390.693.275.954),(390.693.275.954),,-390693275954.0,-390693275954.0
-,VND > -,-,-,(852.265.798.943),(852.265.798.943),,-852265798943.0,-852265798943.0
-,VND > -,-,-,(119.610.000.000),(119.610.000.000),,-119610000000.0,-119610000000.0
-,VND > -,-,1.334.000.000.000,(1.334.000.000.000),-,1334000000000.0,-1334000000000.0,
-,VND > -,-,-,(2.994.026.500.694),(2.994.026.500.694),,-2994026500694.0,-2994026500694.0
29.315.353.320.260,VND > 29.315.353.320.260,29.315.353.320.260,3.052.162.536.005,-,32.367.515.856.265,3052162536005.0,,32367515856265.0
-,VND > -,-,-,1.079.434.154.116,1.079.434.154.116,,1079434154116.0,1079434154116.0
-,VND > -,-,310.467.213.725,(310.467.213.725),-,310467213725.0,-310467213725.0,
-,VND > -,-,-,(768.966.940.391),(768.966.940.391),,-768966940391.0,-768966940391.0
29.315.353.320.260,VND > 29.315.353.320.260,29.315.353.320.260,3.362.629.749.730,-,32.677.983.069.990,3362629749730.0,,32677983069990.0
414.447.000.000,VND > 414.447.000.000,414.447.000.000,-,-,414.447.000.000,,,414447000000.0
(1.127.802.519.804),VND > (1.127.802.519.804),(1.127.802.519.804),-,-,(1.127.802.519.804),,,-1127802519804.0
-,VND > -,-,-,7.711.925.154.178,7.711.925.154.178,,7711925154178.0,7711925154178.0
-,VND > -,-,-,(124.235.000.000),(124.235.000.000),,-124235000000.0,-124235000000.0
-,VND > -,-,2.313.000.000.000,(2.313.000.000.000),-,2313000000000.0,-2313000000000.0,
-,VND > -,-,-,(5.274.690.154.178),(5.274.690.154.178),,-5274690154178.0,-5274690154178.0
28.601.997.800.456,VND > 28.601.997.800.456,28.601.997.800.456,5.675.629.749.730,-,34.277.627.550.186,5675629749730.0,,34277627550186.0
