row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nayVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm trướcVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nayVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm trướcVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,103.105.133.858,122.864.688.987,103105133858.0,122864688987.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,2.451.183.771,2.024.630.716,2451183771.0,2024630716.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,3.380.636.483,3.826.044.370,3380636483.0,3826044370.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,35.768.804.347,38.058.527.094,35768804347.0,38058527094.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,67.424.573.557,55.309.313.040,67424573557.0,55309313040.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,111.448.311.366,66.834.883.916,111448311366.0,66834883916.0
Trích quỹ phát triển khoa học và công nghệ,Trích quỹ phát triển khoa học và công nghệ,Trích quỹ phát triển khoa học và công nghệ,256.053.000.000,545.000.000.000,256053000000.0,545000000000.0
,,,579.631.643.382,833.918.088.123,579631643382.0,833918088123.0
