row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lai)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lai)VND
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,
Tập đoàn Dầu khí Việt Nam,Phải thu khác > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,1.096.549.252,551.152.976,1096549252.0,551152976.0
Công ty Cổ phần Phân bón Dầu khí Cà Mau,Phải thu khác > Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,44.444.533,44.444.533,44444533.0,44444533.0
Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Phải thu khác > Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,698.764,698.764,698764.0,698764.0
Ngân hàng TMCP Đại chúng Việt Nam - Chỉ nhánh Quảng Ngãi,Phải thu khác > Ngân hàng TMCP Đại chúng Việt Nam - Chỉ nhánh Quảng Ngãi,Ngân hàng TMCP Đại chúng Việt Nam - Chỉ nhánh Quảng Ngãi,-,1.772.222.222,,1772222222.0
Ngân hàng TMCP Đại Chứng Việt Nam - Chỉ nhánh Đà Nẵng,Phải thu khác > Ngân hàng TMCP Đại Chứng Việt Nam - Chỉ nhánh Đà Nẵng,Ngân hàng TMCP Đại Chứng Việt Nam - Chỉ nhánh Đà Nẵng,-,737.916.667,,737916667.0
,,,1.141.692.549,3.106.435.162,1141692549.0,3106435162.0
,,,Số cuối nămVND,Số đầu năm(Trình bày lai)VND,,
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,
Tập đoàn Dầu khí Việt Nam,Phải trả khác > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,2.941.062.616.325,4.153.686.717.039,2941062616325.0,4153686717039.0
Ban Quản lý Dự án Nhà máy lọc dâu Dung Quất,Phải trả khác > Ban Quản lý Dự án Nhà máy lọc dâu Dung Quất,Ban Quản lý Dự án Nhà máy lọc dâu Dung Quất,170.465.427.043,169.509.265.435,170465427043.0,169509265435.0
,,,3.111.528.043.368,4.323.195.982.474,3111528043368.0,4323195982474.0
