row_label_raw,row_label_full,Ông Nguyễn Hoài Giang,Chủ tịch,numeric__Chủ tịch
Ông Nguyễn Quang Hòa,Ông Nguyễn Quang Hòa,Ông Nguyễn Quang Hòa,Thành viên,
Ông Vũ Mạnh Tùng,Ông Vũ Mạnh Tùng,Ông Vũ Mạnh Tùng,Thành viên,
Ông Trần Ngọc Nguyên,Ông Trần Ngọc Nguyên,Ông Trần Ngọc Nguyên,Thành viên,
