row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vận tải,thiết bị truyền dẫn",Thiết bịvăn phòng,Tài sản cố địnhhửu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vận tải,thiết bị truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm (Trình bày lại),NGUYÊN GIÁ > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),6.288.826.579.295,37.903.545.162.570,84.688.539.695,284.036.926.745,461.334.579,44.561.558.542.884,6288826579295.0,37903545162570.0,84688539695.0,284036926745.0,461334579.0,44561558542884.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,1.488.269.426,52.749.457.844,4.278.312.536,76.862.373.827,93.333.333,135.471.746.966,1488269426.0,52749457844.0,4278312536.0,76862373827.0,93333333.0,135471746966.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,30.216.950.504,33.988.651.596,1.890.000.000,21.213.298.644,-,87.308.900.744,30216950504.0,33988651596.0,1890000000.0,21213298644.0,,87308900744.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,607.541.509,1.800.119.060,-,-,-,2.407.660.569,607541509.0,1800119060.0,,,,2407660569.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.321.139.340.734,37.992.083.391.070,90.856.852.231,382.112.599.216,554.667.912,44.786.746.851.163,6321139340734.0,37992083391070.0,90856852231.0,382112599216.0,554667912.0,44786746851163.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm (Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),1.776.425.128.221,12.915.021.057.498,52.720.861.425,126.992.366.934,461.334.579,14.871.620.748.657,1776425128221.0,12915021057498.0,52720861425.0,126992366934.0,461334579.0,14871620748657.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,290.617.578.468,2.077.742.858.290,9.609.003.699,51.349.162.880,4.666.668,2.429.323.270.005,290617578468.0,2077742858290.0,9609003699.0,51349162880.0,4666668.0,2429323270005.0
"Khẩu hao tài sản của dự án, tài sản chomục đích phúc lợi","GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao tài sản của dự án, tài sản chomục đích phúc lợi","Khẩu hao tài sản của dự án, tài sản chomục đích phúc lợi",254.610.692,445.044.744,-,157.448.727,-,857.104.163,254610692.0,445044744.0,,157448727.0,,857104163.0
(Giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > (Giảm) khác,(Giảm) khác,(232.604.400),-,-,-,-,(232.604.400),-232604400.0,,,,,-232604400.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.067.064.712.981,14.993.208.960.532,62.329.865.124,178.498.978.541,466.001.247,17.301.568.518.425,2067064712981.0,14993208960532.0,62329865124.0,178498978541.0,466001247.0,17301568518425.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.512.401.451.074,24.988.524.105.072,31.967.678.270,157.044.559.811,-,29.689.937.794.227,4512401451074.0,24988524105072.0,31967678270.0,157044559811.0,,29689937794227.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.254.074.627.753,22.998.874.430.538,28.526.987.107,203.613.620.675,88.666.665,27.485.178.332.738,4254074627753.0,22998874430538.0,28526987107.0,203613620675.0,88666665.0,27485178332738.0
