row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,24,81.214.701.822.809,73.598.254.470.809,1.0,24.0,81214701822809.0,73598254470809.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,81.214.701.822.809,73.598.254.470.809,10.0,,81214701822809.0,73598254470809.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,25,72.053.063.761.022,67.191.061.143.665,11.0,25.0,72053063761022.0,67191061143665.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,9.161.638.061.787,6.407.193.327.144,20.0,,9161638061787.0,6407193327144.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,788.000.343.166,941.485.454.048,21.0,27.0,788000343166.0,941485454048.0
7. Chỉ phí tài chính,7. Chỉ phí tài chính,7. Chỉ phí tài chính,22,28,606.053.355.112,1.135.362.020.137,22.0,28.0,606053355112.0,1135362020137.0
- Trong đó: Chỉ phí läl vay,- Trong đó: Chỉ phí läl vay,- Trong đó: Chỉ phí läl vay,23,,487.697.016.829,605.015.986.762,23.0,,487697016829.0,605015986762.0
8. Chỉ phí bán hàng,8. Chỉ phí bán hàng,8. Chỉ phí bán hàng,25,29,584.665.319.067,615.387.317.598,25.0,29.0,584665319067.0,615387317598.0
9. Chỉ phí quản lý doanh nghiệp,9. Chỉ phí quản lý doanh nghiệp,9. Chỉ phí quản lý doanh nghiệp,26,29,579.631.643.382,833.918.088.123,26.0,29.0,579631643382.0,833918088123.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,8.179.288.087.392,4.764.011.355.334,30.0,,8179288087392.0,4764011355334.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,18.099.182.199,25.357.939.790,31.0,,18099182199.0,25357939790.0
12. Chỉ phí khác,12. Chỉ phí khác,12. Chỉ phí khác,32,,53.003.601.263,35.963.353.394,32.0,,53003601263.0,35963353394.0
13. (Lỗ) khác (40=31-32),13. (Lỗ) khác (40=31-32),13. (Lỗ) khác (40=31-32),40,30,(34.904.419.064),(10.605.413.604),40.0,30.0,-34904419064.0,-10605413604.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,8.144.383.668.328,4.753.405.941.730,50.0,,8144383668328.0,4753405941730.0
15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,31,432.458.514.150,261.225.999.408,51.0,31.0,432458514150.0,261225999408.0
16. Lợi nhuận sau thuế thu nhập,16. Lợi nhuận sau thuế thu nhập,16. Lợi nhuận sau thuế thu nhập,60,,7.711.925.154.178,4.492.179.942.322,60.0,,7711925154178.0,4492179942322.0
