row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.371.504,1.734.943,2.422,6.108.869,4371504.0,1734943.0,2422.0,6108869.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,11.587,249.246,-,260.833,11587.0,249246.0,,260833.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.519),-,(4.519),,-4519.0,,-4519.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.383.091,1.979.670,2.422,6.365.183,4383091.0,1979670.0,2422.0,6365183.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,402.775,1.431.469,526,1.834.770,402775.0,1431469.0,526.0,1834770.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,38.573,175.298,121,213.992,38573.0,175298.0,121.0,213992.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.518),-,(4.518),,-4518.0,,-4518.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,-,250,-,250,,250.0,,250.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,441.348,1.602.499,647,2.044.494,441348.0,1602499.0,647.0,2044494.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,3.968.729,303.474,1.896,4.274.099,3968729.0,303474.0,1896.0,4274099.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,3.941.743,377.171,1.775,4.320.689,3941743.0,377171.0,1775.0,4320689.0
