row_label_raw,row_label_full,col_0,Nguyên giá/Giá hợp lýkhi ghi nhậnban đầu,Giá trịkhấu haolũy kế,Giá trị còn lại,numeric__Nguyên giá/Giá hợp lýkhi ghi nhậnban đầu,numeric__Giá trịkhấu haolũy kế,numeric__Giá trị còn lại
,,,Triệu VND,Triệu VND,Triệu VND,,,
"TSCĐ vô hình, chiểm tỷ trọng lớn trongtổng tài sản","TSCĐ vô hình, chiểm tỷ trọng lớn trongtổng tài sản","TSCĐ vô hình, chiểm tỷ trọng lớn trongtổng tài sản",5.084.229,1.445.107,3.639.122,5084229.0,1445107.0,3639122.0
Nguyên giá của TSCĐ vô hình khấu haohết nhưng vẫn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu haohết nhưng vẫn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu haohết nhưng vẫn còn sử dụng,1.117.010,1.117.010,-,1117010.0,1117010.0,
Giá trị còn lại của TSCĐ vô hình đang chở thanh lý,Giá trị còn lại của TSCĐ vô hình đang chở thanh lý,Giá trị còn lại của TSCĐ vô hình đang chở thanh lý,74,74,-,74.0,74.0,
