row_label_raw,row_label_full,col_0,"Máy móc, thiết bịTriệu VND",Phương tiện vận tảiTriệu VND,Tổng cộngTriệu VND,"numeric__Máy móc, thiết bịTriệu VND",numeric__Phương tiện vận tảiTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,,,
Số dư đầu năm,Nguyên giá TSCĐ thuê tài chính > Số dư đầu năm,Số dư đầu năm,18.708,23.739,42.447,18708.0,23739.0,42447.0
Giảm khác,Nguyên giá TSCĐ thuê tài chính > Giảm khác,Giảm khác,(135),,(135),-135.0,,-135.0
Số dư cuối năm,Nguyên giá TSCĐ thuê tài chính > Số dư cuối năm,Số dư cuối năm,18.573,23.739,42.312,18573.0,23739.0,42312.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,17.838,20.886,38.724,17838.0,20886.0,38724.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,226,1.443,1.669,226.0,1443.0,1669.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(135),,(135),-135.0,,-135.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,17.929,22.329,40.258,17929.0,22329.0,40258.0
Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ thuê tài chính > Số dư đầu năm,Số dư đầu năm,870,2.853,3.723,870.0,2853.0,3723.0
Số dư cuối năm,Giá trị còn lại của TSCĐ thuê tài chính > Số dư cuối năm,Số dư cuối năm,644,1.410,2.054,644.0,1410.0,2054.0
