row_label_raw,row_label_full,Các chỉ tiêu ngoài Báo cáo tỉnh hình tài chính riêng lẻ,Số đã báo cáo trên báo cáo tài chính riêng lẻ cho nằm tài chính kết thúc ngày 31/12/2021 > Triệu VND,Trình bày bổ sung theo Thông tư 27 > Triệu VND,Số báo cáo trên báo cáo tài chính riêng lẻ cho nằm tài chính kết thúc ngày 31/12/2022 > Triệu VND,numeric__Số đã báo cáo trên báo cáo tài chính riêng lẻ cho nằm tài chính kết thúc ngày 31/12/2021 > Triệu VND,numeric__Trình bày bổ sung theo Thông tư 27 > Triệu VND,numeric__Số báo cáo trên báo cáo tài chính riêng lẻ cho nằm tài chính kết thúc ngày 31/12/2022 > Triệu VND
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Không trình bày,13.739.102,12.816.131,,13739102.0,12816131.0
Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,Không trình bày,10.993.229,9.503.799,,10993229.0,9503799.0
Lãi chứng khoán chưa thu được,Lãi chứng khoán chưa thu được,Lãi chứng khoán chưa thu được,Không trình bày,2.626.596,3.120.154,,2626596.0,3120154.0
Phí phải thu chưa thu được,Phí phải thu chưa thu được,Phí phải thu chưa thu được,Không trình bày,119.277,192.178,,119277.0,192178.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Không trình bày,167.828.288,190.099.033,,167828288.0,190099033.0
Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Không trình bày,87.363.187,97.065.038,,87363187.0,97065038.0
Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Không trình bày,80.462.081,93.030.962,,80462081.0,93030962.0
Các khoản nợ khác đã xử lý,Các khoản nợ khác đã xử lý,Các khoản nợ khác đã xử lý,Không trình bày,3.020,3.033,,3020.0,3033.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,Không trình bày,71.871.782,70.479.195,,71871782.0,70479195.0
"Kim loại quý, đó quý giữ hộ","Kim loại quý, đó quý giữ hộ","Kim loại quý, đó quý giữ hộ",Không trình bày,18.477,14.297,,18477.0,14297.0
Tài sản khác giữ hộ,Tài sản khác giữ hộ,Tài sản khác giữ hộ,Không trình bày,11.612.676,6.444.764,,11612676.0,6444764.0
Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Không trình bày,9.434.894,10.055.550,,9434894.0,10055550.0
Tài sản bảo đảm nhận thay thế cho việc thực hiện nghĩa vụ của bên bảo đảm chờ xử lý,Tài sản bảo đảm nhận thay thế cho việc thực hiện nghĩa vụ của bên bảo đảm chờ xử lý,Tài sản bảo đảm nhận thay thế cho việc thực hiện nghĩa vụ của bên bảo đảm chờ xử lý,Không trình bày,3.071.804,3.034.401,,3071804.0,3034401.0
Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,Không trình bày,47.733.931,50.930.183,,47733931.0,50930183.0
