row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu,(Phải trả),numeric__Số dư,numeric__Phải thu,numeric__(Phải trả)
Bên liên quan,Bên liên quan,Bên liên quan,Số dư,Triệu VND,Triệu VND,,,
Đại diện chủ sở hữu (NHNN),Bên liên quan > Đại diện chủ sở hữu (NHNN),Đại diện chủ sở hữu (NHNN),- Tiền gửi của BIDV tại đại diện chủ sở hữu,106.304.480,-,,106304480.0,
Đại diện chủ sở hữu (NHNN),Bên liên quan > Đại diện chủ sở hữu (NHNN),Đại diện chủ sở hữu (NHNN),- Các khoản vay của BIDV từ đại diện chủ sở hữu,-,(6.205.292),,,-6205292.0
Bên liên quan của chủ sở hữu (BTC và KBNN),Bên liên quan > Bên liên quan của chủ sở hữu (BTC và KBNN),Bên liên quan của chủ sở hữu (BTC và KBNN),- Tiền gửi của bên liên quan của chủ sở hữu tại BIDV,-,(145.504.247),,,-145504247.0
Cổ đông,Bên liên quan > Cổ đông,Cổ đông,- Tiền gửi của BIDV tại cổ đông chiến lược,238.023,-,,238023.0,
chiến lược,Bên liên quan > chiến lược,chiến lược,- Tiền gửi tại BIDV của cổ đông chiến lược,-,(102.050),,,-102050.0
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Tiền gửi tại BIDV của các công ty con,-,(4.793.732),,,-4793732.0
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Tiền vay từ BIDV của các công ty con,765.000,-,,765000.0,
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Tiền gửi của BIDV tại các công ty con,6.985.609,-,,6985609.0,
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Tiền BIDV vay của các công ty con,-,(1.666),,,-1666.0
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Phải thu các công ty con,222.000,-,,222000.0,
Các công ty liên doanh,Bên liên quan > Các công ty liên doanh,Các công ty liên doanh,- Tiền gửi của các công ty liên doanh,-,(4.897.335),,,-4897335.0
Các công ty liên doanh,Bên liên quan > Các công ty liên doanh,Các công ty liên doanh,- Tiền gửi của BIDV tại các công ty liên doanh,4.879.521,-,,4879521.0,
Các công ty liên kết,Bên liên quan > Các công ty liên kết,Các công ty liên kết,- Tiền gửi tại BIDV của các công ty liên kết,-,(612.349),,,-612349.0
Các công ty liên kết,Bên liên quan > Các công ty liên kết,Các công ty liên kết,- Tiền vay từ BIDV của các công ty liên kết,311.578,-,,311578.0,
