row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,151.709.539,23.849.366,,17.0,151709539.0,23849366.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,167.634.732,89.601.359,,18.0,167634732.0,89601359.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,130.817.873,55.702.991,,,130817873.0,55702991.0
2.,B. > 2.,2.,Vay các TCTD khác,,36.816.859,33.898.368,,,36816859.0,33898368.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,1.456.810.102,1.361.007.545,,19.0,1456810102.0,1361007545.0
IV.,B. > IV.,IV.,"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chju rủi ro",20,13.237.626,14.349.996,,20.0,13237626.0,14349996.0
V.,B. > V.,V.,Phát hành giấy tờ có giá,21,157.181.781,122.708.807,,21.0,157181781.0,122708807.0
VI.,B. > VI.,VI.,Các khoản nợ khác,22,36.825.451,28.781.091,,22.0,36825451.0,28781091.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,25.710.760,21.163.443,,,25710760.0,21163443.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,,11.114.691,7.617.648,,,11114691.0,7617648.0
,,,TỔNG NỘ PHẢI TRẢ,,1.983.399.231,1.640.298.164,,,1983399231.0,1640298164.0
VII.,VII.,VII.,Vốn và các quỹ,,,,,,,
1.,VII. > 1.,1.,Vốn của Ngân hàng,24,64.877.621,64.877.621,,24.0,64877621.0,64877621.0
,,,Vốn điều lệ,,50.585.239,50.585.239,,,50585239.0,50585239.0
,,,Thăng dư vốn cổ phần,,14.292.382,14.292.382,,,14292382.0,14292382.0
2.,VII. > 2.,2.,Quỹ của Ngân hàng,24,11.949.886,9.229.728,,24.0,11949886.0,9229728.0
3.,VII. > 3.,3.,Lợi nhuận chưa phân phối,24,19.953.539,6.910.242,,24.0,19953539.0,6910242.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,96.781.046,81.017.591,,,96781046.0,81017591.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.080.180.277,1.721.315.755,,,2080180277.0,1721315755.0
