row_label_raw,row_label_full,col_0,Chứng khoán đầu tư sãn sàng để bán,Chứng khoán đầu tư sãn sàng để bán_1,Chứng khoán đầu tư sãn sàng để bán_2,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn_1,Tổng cộng,numeric__Chứng khoán đầu tư sãn sàng để bán,numeric__Chứng khoán đầu tư sãn sàng để bán_1,numeric__Chứng khoán đầu tư sãn sàng để bán_2,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__Tổng cộng
,,,Dự phòng giảm giá,Dự phòng chung,Dự phòng cụ thể,Dự phòng chung,Dự phòng cụ thể,Tổng cộng,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,47.895,106.598,51.489,65.199,271.181,,47895.0,106598.0,51489.0,65199.0,271181.0
Trích lập/(Hoàn nhập) (xem Thuyết minh số 29.2),Trích lập/(Hoàn nhập) (xem Thuyết minh số 29.2),Trích lập/(Hoàn nhập) (xem Thuyết minh số 29.2),-,(6.262),156.952,(4.719),(65.199),80.772,,-6262.0,156952.0,-4719.0,-65199.0,80772.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,41.633,263.550,46.770,-,351.953,,41633.0,263550.0,46770.0,,351953.0
