row_label_raw,row_label_full,Bên cho vay > Ngân hàng TNHHChinatrust Commercial -Chi nhánh Hồ Chí Minh > Ngân hàng TMCP Ng outdoorNgoại thương - Chinhánh Hà Nội > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam -Chi nhánh Quảng Nam > Ngân hàng TMCP TiênPhong - Chi nhánh Đông Đồ > Ngân hàng TMCP Kỹ thương Việt Nam - Chinhánh Hà Nội > Ngân hàng Shinhan ViệtNam – Chi nhánh Phạm Hùng > Ngân hàng TNHH CTBC –Chi nhánh TP Hồ Chí Minh > Ngân hàng TMCP TiênPhong - Chi nhánh Hồ Gurometer,Số dư cuối nămVND > 32.481.540.354 > 30.426.446.323 > 22.202.627.569 > 17.425.401.995 > 15.057.625.085 > 10.186.098.895 > 9.248.466.488 > 2.562.586.950,Số dư đầu nămVND > 32.957.886.964 > - > 17.607.158.583 > 20.484.617.244 > -,"Kỳ trả gốc và lãi > Kỳ hạn vay 6 tháng, lãi trả hàng tháng > Kỳ hạn vay 6 - 7 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 19 tháng 5 năm 2022 > Gốc và lãi vay trả hàng tháng > Kỳ hạn vay 6 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 14 tháng 6 năm 2022 > Kỳ hạn vay 6 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 28 tháng 02 năm 2022 > Thời hạn cho vay của từng khoản nợ được ghi trên giấy nhận nợ nhưng tối đa không quá 08 tháng/giấy nhận nợ, khế ước cuối cùng đáo hạn ngày 29 tháng 8 năm 2022 > Kỳ hạn vay 180 ngày giải ngân đối với mỗi lần nhận nợ, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 14 tháng 05 năm 2022 > Kỳ hạn vay 6 tháng, lãi vay trả hàng tháng","Lãi suất%/năm > 3,15 - 3,3 > 5,5 - 5,8 > 7 > 5,2 - 6,9 > 5 > 4,5 > 3,9 - 4,1 > 6,5","Tài sản đảm bảo > Tín chấp > Quyền đời nợ hình thành từ các hợp đồng tiền gửi với tổng giá trị 5 tỷ và từ các phương án do ngân hàng tài trợ > Quyền sử dụng đất, quyền sở hữu nhà ở và tài sản gắn liền trên đất tại Đà Nẵng của Phú Thạnh Mỹ > Quyền đời nợ hình thành từ các phương án do ngân hàng tài trợ > Quyền đời nợ hình thành từ các phương án do ngân hàng tài trợ của MEE > Tín chấp > Bảo lãnh của Công ty mẹ > Quyền đời nợ của Emic",numeric__Số dư cuối nămVND > 32.481.540.354 > 30.426.446.323 > 22.202.627.569 > 17.425.401.995 > 15.057.625.085 > 10.186.098.895 > 9.248.466.488 > 2.562.586.950,numeric__Số dư đầu nămVND > 32.957.886.964 > - > 17.607.158.583 > 20.484.617.244 > -,"numeric__Kỳ trả gốc và lãi > Kỳ hạn vay 6 tháng, lãi trả hàng tháng > Kỳ hạn vay 6 - 7 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 19 tháng 5 năm 2022 > Gốc và lãi vay trả hàng tháng > Kỳ hạn vay 6 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 14 tháng 6 năm 2022 > Kỳ hạn vay 6 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 28 tháng 02 năm 2022 > Thời hạn cho vay của từng khoản nợ được ghi trên giấy nhận nợ nhưng tối đa không quá 08 tháng/giấy nhận nợ, khế ước cuối cùng đáo hạn ngày 29 tháng 8 năm 2022 > Kỳ hạn vay 180 ngày giải ngân đối với mỗi lần nhận nợ, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 14 tháng 05 năm 2022 > Kỳ hạn vay 6 tháng, lãi vay trả hàng tháng","numeric__Lãi suất%/năm > 3,15 - 3,3 > 5,5 - 5,8 > 7 > 5,2 - 6,9 > 5 > 4,5 > 3,9 - 4,1 > 6,5","numeric__Tài sản đảm bảo > Tín chấp > Quyền đời nợ hình thành từ các hợp đồng tiền gửi với tổng giá trị 5 tỷ và từ các phương án do ngân hàng tài trợ > Quyền sử dụng đất, quyền sở hữu nhà ở và tài sản gắn liền trên đất tại Đà Nẵng của Phú Thạnh Mỹ > Quyền đời nợ hình thành từ các phương án do ngân hàng tài trợ > Quyền đời nợ hình thành từ các phương án do ngân hàng tài trợ của MEE > Tín chấp > Bảo lãnh của Công ty mẹ > Quyền đời nợ của Emic"
Các ngân hàng khác,Các ngân hàng khác,Các ngân hàng khác,,465.681.355.672,,,,,465681355672.0,,,
Tổng cộng,Tổng cộng,Tổng cộng,4.475.116.703.047,2.754.972.340.009,,,,4475116703047.0,2754972340009.0,,,
