row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trịcó thể thu hồi(*),Số cuối năm > VND > Dự phòng,Số cuối năm > VND > Giá gốc,Số đầu năm > Giá gốc,Số đầu năm > VND,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trịcó thể thu hồi(*),numeric__Số cuối năm > VND > Dự phòng,numeric__Số cuối năm > VND > Giá gốc,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VND
Công ty Cố phần Kim loại màu Ngọc Sơn,Công ty Cố phần Kim loại màu Ngọc Sơn,Công ty Cố phần Kim loại màu Ngọc Sơn,106.283.046.487,-,106.283.046.487,106.288.046.487,-,106.288.046.487,106283046487.0,,106283046487.0,106288046487.0,,106288046487.0
Công ty Cố phần Sản xuất Thanh Vân,Công ty Cố phần Sản xuất Thanh Vân,Công ty Cố phần Sản xuất Thanh Vân,57.814.174.949,-,57.814.174.949,57.814.174.949,-,57.814.174.949,57814174949.0,,57814174949.0,57814174949.0,,57814174949.0
Các khoản khác,Các khoản khác,Các khoản khác,61.153.975.202,3.924.848.829,57.229.126.373,56.213.212.892,3.274.095.907,52.939.116.985,61153975202.0,3924848829.0,57229126373.0,56213212892.0,3274095907.0,52939116985.0
,,,225.251.196.638,3.924.848.829,221.326.347.809,220.315.434.328,3.274.095.907,217.041.338.421,225251196638.0,3924848829.0,221326347809.0,220315434328.0,3274095907.0,217041338421.0
