row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị: VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,30,18.847.758.909.185,16.203.013.298.279,,1.0,30.0,18847758909185.0,16203013298279.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,30,133.553.048.040,130.311.500.295,,2.0,30.0,133553048040.0,130311500295.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,30,18.714.205.861.145,16.072.701.797.984,,10.0,30.0,18714205861145.0,16072701797984.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,31,16.884.083.731.929,14.117.731.801.309,,11.0,31.0,16884083731929.0,14117731801309.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.830.122.129.216,1.954.969.996.675,,20.0,,1830122129216.0,1954969996675.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,33,394.870.532.850,233.666.758.383,,21.0,33.0,394870532850.0,233666758383.0
7.,7.,7.,Chi phí tài chính,22,34,744.443.081.249,621.137.976.118,,22.0,34.0,744443081249.0,621137976118.0
,,,- Trong đó: Chi phí lãi vay và chi phí phát hành trái phiếu,23,,516.390.762.541,470.883.390.881,,23.0,,516390762541.0,470883390881.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,17,28.527.328.458,12.187.754.413,,24.0,17.0,28527328458.0,12187754413.0
9.,9.,9.,Chi phí bán hàng,25,35,360.858.347.287,412.643.508.213,,25.0,35.0,360858347287.0,412643508213.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,35,387.450.215.643,355.683.140.846,,26.0,35.0,387450215643.0,355683140846.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,760.768.346.345,811.359.884.294,,30.0,,760768346345.0,811359884294.0
12.,12.,12.,Thu nhập khác,31,36,59.484.543.159,39.005.994.474,,31.0,36.0,59484543159.0,39005994474.0
13.,13.,13.,Chi phí khác,32,,2.247.136.204,6.754.328.956,,32.0,,2247136204.0,6754328956.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,57.237.406.955,32.251.665.518,,40.0,,57237406955.0,32251665518.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,818.005.753.300,843.611.549.812,,50.0,,818005753300.0,843611549812.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,37,177.074.181.774,179.039.284.917,,51.0,37.0,177074181774.0,179039284917.0
17.,17.,17.,(Thu nhập)/chi phí thuế thu nhập doanh nghiệp hoãn lại,52,37,(13.857.407.490),8.941.747.989,,52.0,37.0,-13857407490.0,8941747989.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,654.788.979.016,655.630.516.906,,60.0,,654788979016.0,655630516906.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,565.867.041.019,556.838.633.122,,61.0,,565867041019.0,556838633122.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,88.921.937.997,98.791.883.784,,62.0,,88921937997.0,98791883784.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,38,2.280,2.436,,70.0,38.0,2280.0,2436.0
