row_label_raw,row_label_full,Bên cho vay > Công ty Cổ phần Tập đoàn GELEX,Số dư cuối năm > VND > 800.000.000.000 > 608.125.000.000,Số dư đầu năm > VND > -,"Ngày đáo hạn và kỳ trả lãi > Đáo hạn ngày 22 tháng 7 năm 2023, trả lãi cùng gốc khi tất toán > Thời hạn cho vay 120 tháng, đáo hạn lần cuối vào tháng 12 năm 2029. Lãi vay và gốc vay được trả hàng quý","Lãi suất > %/năm > 10 > 9,5",Tài sản đảm bảo > Không có tài sản đảm bảo > Tín Chấp,numeric__Số dư cuối năm > VND > 800.000.000.000 > 608.125.000.000,numeric__Số dư đầu năm > VND > -,"numeric__Ngày đáo hạn và kỳ trả lãi > Đáo hạn ngày 22 tháng 7 năm 2023, trả lãi cùng gốc khi tất toán > Thời hạn cho vay 120 tháng, đáo hạn lần cuối vào tháng 12 năm 2029. Lãi vay và gốc vay được trả hàng quý","numeric__Lãi suất > %/năm > 10 > 9,5",numeric__Tài sản đảm bảo > Không có tài sản đảm bảo > Tín Chấp
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.408.125.000.000,-,,,,1408125000000.0,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,73.750.000.000,-,,,,73750000000.0,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.334.375.000.000,-,,,,1334375000000.0,,,,
